,Unnamed: 0,candidate_name,cycle,modeldate,pct_median_adjusted,state
9,9,George Bush,1988.0,9.0,,Arkansas
10,10,George Bush,1988.0,10.0,47.75458914285715,Arkansas
11,11,George Bush,1988.0,11.0,48.603776875,Arkansas
165,165,Bill Clinton,1992.0,9.0,57.52858116666667,Arkansas
166,166,Bill Clinton,1992.0,10.0,55.349014354838715,Arkansas
167,167,Bill Clinton,1992.0,11.0,52.91720733333333,Arkansas
168,168,George Bush,1992.0,9.0,32.59210826666667,Arkansas
169,169,George Bush,1992.0,10.0,30.246205258064517,Arkansas
170,170,George Bush,1992.0,11.0,30.54492733333333,Arkansas
465,465,Bill Clinton,1996.0,9.0,50.4187486,Arkansas
466,466,Bill Clinton,1996.0,10.0,51.692294129032256,Arkansas
467,467,Bill Clinton,1996.0,11.0,53.18661899999999,Arkansas
468,468,Bob Dole,1996.0,9.0,34.46714746666667,Arkansas
469,469,Bob Dole,1996.0,10.0,34.40349364516129,Arkansas
470,470,Bob Dole,1996.0,11.0,34.895432,Arkansas
765,765,Al Gore,2000.0,9.0,40.733597066666654,Arkansas
766,766,Al Gore,2000.0,10.0,41.536408161290325,Arkansas
767,767,Al Gore,2000.0,11.0,44.253351571428574,Arkansas
768,768,George W. Bush,2000.0,9.0,43.378672200000004,Arkansas
769,769,George W. Bush,2000.0,10.0,45.273679967741934,Arkansas
770,770,George W. Bush,2000.0,11.0,46.85679900000001,Arkansas
1056,1056,George W. Bush,2004.0,9.0,49.39518189999999,Arkansas
1057,1057,George W. Bush,2004.0,10.0,49.76801967741936,Arkansas
1058,1058,George W. Bush,2004.0,11.0,49.8493885,Arkansas
1212,1212,Barack Obama,2008.0,9.0,36.9113606,Arkansas
1213,1213,Barack Obama,2008.0,10.0,40.14508548387097,Arkansas
1214,1214,Barack Obama,2008.0,11.0,43.21698625,Arkansas
1215,1215,John McCain,2008.0,9.0,51.13807920000001,Arkansas
1216,1216,John McCain,2008.0,10.0,50.03789874193549,Arkansas
1217,1217,John McCain,2008.0,11.0,51.85917725000001,Arkansas
1500,1500,Mitt Romney,2012.0,9.0,58.28202246666668,Arkansas
1501,1501,Mitt Romney,2012.0,10.0,59.021044483871,Arkansas
1502,1502,Mitt Romney,2012.0,11.0,59.59447783333334,Arkansas
1650,1650,Donald Trump,2016.0,9.0,51.26743133333335,Arkansas
1651,1651,Donald Trump,2016.0,10.0,53.2219206451613,Arkansas
1652,1652,Donald Trump,2016.0,11.0,53.52546625,Arkansas
1653,1653,Hillary Rodham Clinton,2016.0,9.0,34.53667633333334,Arkansas
1654,1654,Hillary Rodham Clinton,2016.0,10.0,34.250675483870964,Arkansas
1655,1655,Hillary Rodham Clinton,2016.0,11.0,33.98802,Arkansas
1950,1950,Donald Trump,2020.0,9.0,48.17843066666669,Arkansas
1951,1951,Donald Trump,2020.0,10.0,55.69382548387097,Arkansas
1952,1952,Donald Trump,2020.0,11.0,58.97041666666666,Arkansas
1953,1953,Joseph R. Biden Jr.,2020.0,9.0,45.05262166666667,Arkansas
1954,1954,Joseph R. Biden Jr.,2020.0,10.0,39.078884838709676,Arkansas
1955,1955,Joseph R. Biden Jr.,2020.0,11.0,36.17415,Arkansas
