,candidate_name,cycle,month_10,month_11,month_9,state
10,George Bush,1988.0,47.66571022580644,50.17092925,37.5899691,Colorado
11,Michael S. Dukakis,1988.0,39.18900367741936,38.172553625,42.4745739,Colorado
110,Bill Clinton,1992.0,39.76629909677419,39.02624400000001,42.4084749,Colorado
111,George Bush,1992.0,34.63421461290322,32.43428433333333,37.681479966666664,Colorado
212,Bill Clinton,1996.0,46.96296735483871,43.58641999999999,48.433787666666646,Colorado
213,Bob Dole,1996.0,40.78663348387097,40.392233600000004,41.46549300000001,Colorado
314,Al Gore,2000.0,36.27732435483871,38.74961414285714,39.21247126666667,Colorado
315,George W. Bush,2000.0,46.888933032258066,47.89615828571429,43.676013133333335,Colorado
416,George W. Bush,2004.0,49.18500783870967,49.63014750000001,49.58059996666667,Colorado
417,John Kerry,2004.0,44.427697903225805,45.409281,43.03596773333334,Colorado
516,Barack Obama,2008.0,49.80164638709677,51.32668975000001,46.89590253333333,Colorado
517,John McCain,2008.0,43.99477416129033,44.4977205,45.74806623333334,Colorado
616,Barack Obama,2012.0,47.42881183870968,47.908894333333336,47.80537373333334,Colorado
617,Mitt Romney,2012.0,47.72709425806451,47.76562316666667,46.10238709999999,Colorado
712,Donald Trump,2016.0,38.4452129032258,40.15875750000001,37.753362666666675,Colorado
713,Hillary Rodham Clinton,2016.0,43.92682483870968,43.45608125,40.17984033333334,Colorado
814,Donald Trump,2020.0,40.06908225806451,41.23381,40.926107,Colorado
815,Joseph R. Biden Jr.,2020.0,52.75659967741937,53.50384,51.617246666666674,Colorado
