,candidate_name,cycle,month_10,month_11,month_9,state
16,George Bush,1988.0,57.448287516129035,58.335525625,56.52244003333333,Florida
17,Michael S. Dukakis,1988.0,34.683742903225806,35.419587500000006,36.00800113333333,Florida
116,Bill Clinton,1992.0,38.668224612903224,36.47383166666666,38.79239506666667,Florida
117,George Bush,1992.0,38.356770258064515,39.895828,39.64292273333333,Florida
218,Bill Clinton,1996.0,46.594787548387096,46.3792614,46.589382799999996,Florida
219,Bob Dole,1996.0,40.921203677419356,41.247562800000004,40.84641786666666,Florida
320,Al Gore,2000.0,43.69805551612903,46.57347885714286,43.37759419999999,Florida
321,George W. Bush,2000.0,45.02228448387098,45.429918,43.884567666666676,Florida
422,George W. Bush,2004.0,48.759772322580645,47.9744115,49.53974516666668,Florida
423,John Kerry,2004.0,46.44768780645161,47.4130245,44.02233026666667,Florida
522,Barack Obama,2008.0,48.32438667741937,48.06866825,45.09323989999999,Florida
523,John McCain,2008.0,45.33276,46.56100275,48.4949404,Florida
620,Barack Obama,2012.0,47.089572774193556,47.447488166666666,47.66753739999999,Florida
621,Mitt Romney,2012.0,48.71468096774194,49.13608516666667,46.719990800000005,Florida
718,Donald Trump,2016.0,42.65801677419355,45.0639175,43.04179033333334,Florida
719,Hillary Rodham Clinton,2016.0,45.80621580645161,46.197072500000004,43.52967566666666,Florida
820,Donald Trump,2020.0,45.52105387096774,46.59860333333334,45.94659033333333,Florida
821,Joseph R. Biden Jr.,2020.0,48.826357096774196,48.98198,48.33318200000001,Florida
