,Unnamed: 0,candidate_name,cycle,month_10,month_11,month_9,state,republican
0,18,George Bush,1988,51.79751338,51.90908825,51.6578483,Georgia,1
1,19,Michael S. Dukakis,1988,37.53831093,38.41281963,37.298773,Georgia,0
2,118,Bill Clinton,1992,41.05656723,39.51103033,39.8764934,Georgia,0
3,119,George Bush,1992,35.65134516,35.96985967,38.2716175,Georgia,1
4,220,Bill Clinton,1996,46.53817855,44.8197092,45.54605293,Georgia,0
5,221,Bob Dole,1996,40.57478081,41.6302896,40.888825,Georgia,1
6,322,Al Gore,2000,39.43946739,40.11264129,40.7403559,Georgia,0
7,323,George W. Bush,2000,48.45913694,50.95262543,44.65723987,Georgia,1
8,424,George W. Bush,2004,54.91503661,54.19454150000001,55.35152594,Georgia,1
9,425,John Kerry,2004,40.17168016,41.784946999999995,39.62384856,Georgia,0
10,524,Barack Obama,2008,43.45626471,45.826949,40.60395263,Georgia,0
11,525,John McCain,2008,51.01530313,50.0376805,53.40251543,Georgia,1
12,622,Barack Obama,2012,42.166560100000005,43.63880617,42.4720641,Georgia,0
13,623,Mitt Romney,2012,53.19637448,53.598447,51.69075170000001,Georgia,1
14,720,Donald Trump,2016,45.40261419,47.67065875,44.58679267,Georgia,1
15,721,Hillary Rodham Clinton,2016,42.44864452,43.93564875,40.90339033,Georgia,0
16,822,Donald Trump,2020,46.65713903,47.29871,47.17044967,Georgia,1
17,823,Joseph R. Biden Jr.,2020,47.60438129,48.40758667,45.90619233,Georgia,0
