,Unnamed: 0,candidate_name,cycle,modeldate,pct_median_adjusted,state
30,30,George Bush,1988.0,9.0,33.948940105263155,Hawaii
31,31,George Bush,1988.0,10.0,36.09148848387097,Hawaii
32,32,George Bush,1988.0,11.0,37.7117245,Hawaii
207,207,Bill Clinton,1992.0,9.0,42.892900133333335,Hawaii
208,208,Bill Clinton,1992.0,10.0,43.102253225806464,Hawaii
209,209,Bill Clinton,1992.0,11.0,42.65768933333333,Hawaii
210,210,George Bush,1992.0,9.0,31.097504300000004,Hawaii
211,211,George Bush,1992.0,10.0,27.551265483870967,Hawaii
212,212,George Bush,1992.0,11.0,26.56985833333333,Hawaii
507,507,Bill Clinton,1996.0,9.0,52.71648826666668,Hawaii
508,508,Bill Clinton,1996.0,10.0,52.59063609677419,Hawaii
509,509,Bill Clinton,1996.0,11.0,53.42092760000001,Hawaii
510,510,Bob Dole,1996.0,9.0,34.556883066666664,Hawaii
511,511,Bob Dole,1996.0,10.0,33.86998616129033,Hawaii
512,512,Bob Dole,1996.0,11.0,31.1091224,Hawaii
807,807,Al Gore,2000.0,9.0,47.76210663333334,Hawaii
808,808,Al Gore,2000.0,10.0,50.44742322580645,Hawaii
809,809,Al Gore,2000.0,11.0,51.874413857142855,Hawaii
810,810,George W. Bush,2000.0,9.0,34.53862120000001,Hawaii
811,811,George W. Bush,2000.0,10.0,33.884107967741926,Hawaii
812,812,George W. Bush,2000.0,11.0,34.87764885714285,Hawaii
1077,1077,George W. Bush,2004.0,9.0,42.87604296666665,Hawaii
1078,1078,George W. Bush,2004.0,10.0,42.26425777419355,Hawaii
1079,1079,George W. Bush,2004.0,11.0,43.6774665,Hawaii
1254,1254,Barack Obama,2008.0,9.0,62.16081756666666,Hawaii
1255,1255,Barack Obama,2008.0,10.0,66.51933664516129,Hawaii
1256,1256,Barack Obama,2008.0,11.0,61.30717975,Hawaii
1257,1257,John McCain,2008.0,9.0,31.5660674,Hawaii
1258,1258,John McCain,2008.0,10.0,27.76953629032258,Hawaii
1259,1259,John McCain,2008.0,11.0,32.4342365,Hawaii
1518,1518,Mitt Romney,2012.0,9.0,31.22019966666667,Hawaii
1519,1519,Mitt Romney,2012.0,10.0,32.69118925806451,Hawaii
1520,1520,Mitt Romney,2012.0,11.0,33.99510983333334,Hawaii
1692,1692,Donald Trump,2016.0,9.0,27.84990433333333,Hawaii
1693,1693,Donald Trump,2016.0,10.0,27.891031612903234,Hawaii
1694,1694,Donald Trump,2016.0,11.0,28.94064625,Hawaii
1695,1695,Hillary Rodham Clinton,2016.0,9.0,51.74910433333334,Hawaii
1696,1696,Hillary Rodham Clinton,2016.0,10.0,53.533338064516144,Hawaii
1697,1697,Hillary Rodham Clinton,2016.0,11.0,52.03343000000001,Hawaii
1992,1992,Donald Trump,2020.0,9.0,31.015039,Hawaii
1993,1993,Donald Trump,2020.0,10.0,31.226179677419356,Hawaii
1994,1994,Donald Trump,2020.0,11.0,30.17674333333333,Hawaii
1995,1995,Joseph R. Biden Jr.,2020.0,9.0,56.535864333333336,Hawaii
1996,1996,Joseph R. Biden Jr.,2020.0,10.0,62.01144,Hawaii
1997,1997,Joseph R. Biden Jr.,2020.0,11.0,64.22975,Hawaii
