,candidate_name,cycle,month_10,month_11,month_9,state
36,George Bush,1988.0,45.48316164516129,47.732160875,40.920376566666654,Maryland
37,Michael S. Dukakis,1988.0,45.85567877419355,45.289959625,47.94349126666667,Maryland
138,Bill Clinton,1992.0,43.13680209677419,43.544087,43.743002233333335,Maryland
139,George Bush,1992.0,32.65877083870968,32.882513333333335,35.4332775,Maryland
240,Bill Clinton,1996.0,52.90975122580645,51.90805539999999,53.78154766666667,Maryland
241,Bob Dole,1996.0,36.71905699999999,36.652487,36.702900033333336,Maryland
342,Al Gore,2000.0,49.59688493548387,51.29406514285715,49.088173533333325,Maryland
343,George W. Bush,2000.0,37.16591332258064,39.802637000000004,35.60324190000001,Maryland
444,George W. Bush,2004.0,42.32215396774194,41.22031650000001,42.97563413333333,Maryland
445,John Kerry,2004.0,52.224101548387104,54.1446975,49.688641733333334,Maryland
544,Barack Obama,2008.0,56.54077087096775,59.755692,53.222313133333344,Maryland
545,John McCain,2008.0,36.18436261290322,36.375099,38.6665455,Maryland
642,Barack Obama,2012.0,56.82757151612903,57.34714433333335,57.42435250000001,Maryland
643,Mitt Romney,2012.0,37.160029612903216,37.58160433333334,36.3241799,Maryland
740,Donald Trump,2016.0,27.113516774193545,27.465723750000002,28.290517,Maryland
741,Hillary Rodham Clinton,2016.0,60.62116161290323,60.788575,57.859672666666675,Maryland
842,Donald Trump,2020.0,31.138793870967742,31.725136666666668,34.020160000000004,Maryland
843,Joseph R. Biden Jr.,2020.0,62.46487612903226,62.59121,60.376830000000005,Maryland
