,Unnamed: 0,candidate_name,cycle,modeldate,pct_median_adjusted,state
60,60,George Bush,1988.0,9.0,43.7080065,Michigan
61,61,George Bush,1988.0,10.0,46.73394532258065,Michigan
62,62,George Bush,1988.0,11.0,46.67203625000001,Michigan
273,273,Bill Clinton,1992.0,9.0,42.32066486666668,Michigan
274,274,Bill Clinton,1992.0,10.0,43.598207645161295,Michigan
275,275,Bill Clinton,1992.0,11.0,39.06903233333333,Michigan
276,276,George Bush,1992.0,9.0,35.50752646666667,Michigan
277,277,George Bush,1992.0,10.0,30.925016354838714,Michigan
278,278,George Bush,1992.0,11.0,32.618948333333336,Michigan
573,573,Bill Clinton,1996.0,9.0,49.22556086666667,Michigan
574,574,Bill Clinton,1996.0,10.0,48.30020632258065,Michigan
575,575,Bill Clinton,1996.0,11.0,47.30112860000001,Michigan
576,576,Bob Dole,1996.0,9.0,33.990270066666675,Michigan
577,577,Bob Dole,1996.0,10.0,33.92689135483871,Michigan
578,578,Bob Dole,1996.0,11.0,34.6743466,Michigan
873,873,Al Gore,2000.0,9.0,41.504908633333336,Michigan
874,874,Al Gore,2000.0,10.0,42.23119948387098,Michigan
875,875,Al Gore,2000.0,11.0,45.65483671428571,Michigan
876,876,George W. Bush,2000.0,9.0,41.69905383333333,Michigan
877,877,George W. Bush,2000.0,10.0,43.45956587096772,Michigan
878,878,George W. Bush,2000.0,11.0,43.45772257142857,Michigan
1110,1110,George W. Bush,2004.0,9.0,45.103891699999984,Michigan
1111,1111,George W. Bush,2004.0,10.0,44.440395677419346,Michigan
1112,1112,George W. Bush,2004.0,11.0,45.051689,Michigan
1320,1320,Barack Obama,2008.0,9.0,47.56165803333334,Michigan
1321,1321,Barack Obama,2008.0,10.0,51.75319770967742,Michigan
1322,1322,Barack Obama,2008.0,11.0,53.702902,Michigan
1323,1323,John McCain,2008.0,9.0,43.860171,Michigan
1324,1324,John McCain,2008.0,10.0,39.976965741935466,Michigan
1325,1325,John McCain,2008.0,11.0,40.39696525,Michigan
1551,1551,Mitt Romney,2012.0,9.0,42.81953033333333,Michigan
1552,1552,Mitt Romney,2012.0,10.0,44.25056812903226,Michigan
1553,1553,Mitt Romney,2012.0,11.0,45.3906945,Michigan
1758,1758,Donald Trump,2016.0,9.0,37.865377333333335,Michigan
1759,1759,Donald Trump,2016.0,10.0,37.1322187096774,Michigan
1760,1760,Donald Trump,2016.0,11.0,41.20910875,Michigan
1761,1761,Hillary Rodham Clinton,2016.0,9.0,42.514617666666666,Michigan
1762,1762,Hillary Rodham Clinton,2016.0,10.0,45.10832451612904,Michigan
1763,1763,Hillary Rodham Clinton,2016.0,11.0,45.5531175,Michigan
2058,2058,Donald Trump,2020.0,9.0,42.68178566666667,Michigan
2059,2059,Donald Trump,2020.0,10.0,42.78624290322582,Michigan
2060,2060,Donald Trump,2020.0,11.0,43.15237333333334,Michigan
2061,2061,Joseph R. Biden Jr.,2020.0,9.0,49.81474833333333,Michigan
2062,2062,Joseph R. Biden Jr.,2020.0,10.0,50.63295129032259,Michigan
2063,2063,Joseph R. Biden Jr.,2020.0,11.0,51.15499666666667,Michigan
