,Unnamed: 0,candidate_name,cycle,modeldate,pct_median_adjusted,state
63,63,George Bush,1988.0,9.0,40.64239849999999,Minnesota
64,64,George Bush,1988.0,10.0,42.61104080645162,Minnesota
65,65,George Bush,1988.0,11.0,44.93573725,Minnesota
279,279,Bill Clinton,1992.0,9.0,45.56100699999999,Minnesota
280,280,Bill Clinton,1992.0,10.0,44.56613587096772,Minnesota
281,281,Bill Clinton,1992.0,11.0,42.234835,Minnesota
282,282,George Bush,1992.0,9.0,35.166428933333336,Minnesota
283,283,George Bush,1992.0,10.0,32.14808325806452,Minnesota
284,284,George Bush,1992.0,11.0,32.21124866666667,Minnesota
579,579,Bill Clinton,1996.0,9.0,55.6543733,Minnesota
580,580,Bill Clinton,1996.0,10.0,53.65951029032257,Minnesota
581,581,Bill Clinton,1996.0,11.0,52.15047180000001,Minnesota
582,582,Bob Dole,1996.0,9.0,31.75135866666666,Minnesota
583,583,Bob Dole,1996.0,10.0,32.079342129032256,Minnesota
584,584,Bob Dole,1996.0,11.0,31.994421000000006,Minnesota
879,879,Al Gore,2000.0,9.0,46.33013626666666,Minnesota
880,880,Al Gore,2000.0,10.0,44.3466884516129,Minnesota
881,881,Al Gore,2000.0,11.0,44.196393714285705,Minnesota
882,882,George W. Bush,2000.0,9.0,37.703986,Minnesota
883,883,George W. Bush,2000.0,10.0,40.47368351612904,Minnesota
884,884,George W. Bush,2000.0,11.0,41.09516300000001,Minnesota
1113,1113,George W. Bush,2004.0,9.0,45.24262926666667,Minnesota
1114,1114,George W. Bush,2004.0,10.0,44.51725687096775,Minnesota
1115,1115,George W. Bush,2004.0,11.0,45.232135,Minnesota
1326,1326,Barack Obama,2008.0,9.0,49.1019439,Minnesota
1327,1327,Barack Obama,2008.0,10.0,51.07466909677419,Minnesota
1328,1328,Barack Obama,2008.0,11.0,52.47920075,Minnesota
1329,1329,John McCain,2008.0,9.0,44.15884533333334,Minnesota
1330,1330,John McCain,2008.0,10.0,41.850370064516135,Minnesota
1331,1331,John McCain,2008.0,11.0,41.85098650000001,Minnesota
1554,1554,Mitt Romney,2012.0,9.0,41.26397293333332,Minnesota
1555,1555,Mitt Romney,2012.0,10.0,43.54511961290322,Minnesota
1556,1556,Mitt Romney,2012.0,11.0,44.83020450000001,Minnesota
1764,1764,Donald Trump,2016.0,9.0,38.195824,Minnesota
1765,1765,Donald Trump,2016.0,10.0,38.82059967741935,Minnesota
1766,1766,Donald Trump,2016.0,11.0,38.789895,Minnesota
1767,1767,Hillary Rodham Clinton,2016.0,9.0,43.150122,Minnesota
1768,1768,Hillary Rodham Clinton,2016.0,10.0,45.73835225806453,Minnesota
1769,1769,Hillary Rodham Clinton,2016.0,11.0,46.94146875,Minnesota
2064,2064,Donald Trump,2020.0,9.0,42.913794,Minnesota
2065,2065,Donald Trump,2020.0,10.0,41.81980967741936,Minnesota
2066,2066,Donald Trump,2020.0,11.0,42.63173,Minnesota
2067,2067,Joseph R. Biden Jr.,2020.0,9.0,50.66559633333333,Minnesota
2068,2068,Joseph R. Biden Jr.,2020.0,10.0,50.531069677419346,Minnesota
2069,2069,Joseph R. Biden Jr.,2020.0,11.0,51.80381,Minnesota
