,Unnamed: 0,candidate_name,cycle,month_10,month_11,month_9,state,republican
0,44,George Bush,1988.0,56.21273170967742,57.750501875,54.39344336666666,Mississippi,1
1,45,Michael S. Dukakis,1988.0,36.23463874193549,36.066865,37.3135552,Mississippi,0
2,146,Bill Clinton,1992.0,34.31734470967742,36.591175,31.665138566666666,Mississippi,0
3,147,George Bush,1992.0,43.69996332258065,40.314745,48.79437616666666,Mississippi,1
4,248,Bill Clinton,1996.0,38.94892829032258,39.1775202,37.23272966666666,Mississippi,0
5,249,Bob Dole,1996.0,44.928591225806464,46.749139,40.70321653333335,Mississippi,1
6,350,Al Gore,2000.0,39.61929751612904,37.72165142857143,44.0966552,Mississippi,0
7,351,George W. Bush,2000.0,48.72002887096774,52.224458428571424,47.69167516666667,Mississippi,1
8,452,George W. Bush,2004.0,54.55343532258063,54.67754300000001,59.27131106666668,Mississippi,1
9,453,John Kerry,2004.0,38.480340451612896,38.8856885,33.872363066666665,Mississippi,0
10,552,Barack Obama,2008.0,42.161483387096794,41.374568,41.9603939,Mississippi,0
11,553,John McCain,2008.0,51.996192516129035,52.1573185,54.51474433333333,Mississippi,1
12,748,Donald Trump,2016.0,50.22440225806451,49.82328875,50.59486100000001,Mississippi,1
13,749,Hillary Rodham Clinton,2016.0,41.90332677419355,41.25780375,40.66510066666667,Mississippi,0
14,850,Donald Trump,2020.0,53.884359354838715,55.52973666666667,53.161151333333336,Mississippi,1
15,851,Joseph R. Biden Jr.,2020.0,40.066379677419356,39.458483333333334,40.97630633333333,Mississippi,0
