,candidate_name,cycle,month_10,month_11,month_9,state
52,George Bush,1988,49.16334294,50.38779988,48.2784623,Nebraska
53,Michael S. Dukakis,1988,36.0724101,35.47140613,38.32444117,Nebraska
154,Bill Clinton,1992,32.36499613,30.64068633,34.82023873,Nebraska
155,George Bush,1992,40.10020342,40.21238567,42.73485727,Nebraska
256,Bill Clinton,1996,37.225014,36.4836392,39.16964853,Nebraska
257,Bob Dole,1996,46.46101681,47.3222424,45.67523453,Nebraska
358,Al Gore,2000,31.57361665,33.01034414,32.8029935,Nebraska
359,George W. Bush,2000,55.72366684,57.70583414,53.33817683,Nebraska
460,George W. Bush,2004,60.67952423,61.0497595,61.14925189,Nebraska
461,John Kerry,2004,30.86417745,31.938156,29.42903463,Nebraska
560,Barack Obama,2008,39.08256987,39.0779415,37.8640213,Nebraska
561,John McCain,2008,52.81375029,55.7014165,53.5329243,Nebraska
656,Barack Obama,2012,38.11327132,38.965358,38.6639331,Nebraska
657,Mitt Romney,2012,55.02081842,57.060789,53.66102203,Nebraska
756,Donald Trump,2016,51.27946581,51.83659625,45.95346567,Nebraska
757,Hillary Rodham Clinton,2016,31.8581871,33.21922375,32.383519,Nebraska
858,Donald Trump,2020,51.8671931,52.27909667,52.2827261,Nebraska
859,Joseph R. Biden Jr.,2020,43.35367103,42.55715667,46.28272,Nebraska
