,Unnamed: 0,candidate_name,cycle,modeldate,pct_median_adjusted,state
78,78,George Bush,1988.0,9.0,48.72354596666666,Nevada
79,79,George Bush,1988.0,10.0,51.59357629032258,Nevada
80,80,George Bush,1988.0,11.0,54.129656875,Nevada
309,309,Bill Clinton,1992.0,9.0,,Nevada
310,310,Bill Clinton,1992.0,10.0,35.1408755,Nevada
311,311,Bill Clinton,1992.0,11.0,34.75713233333334,Nevada
312,312,George Bush,1992.0,9.0,,Nevada
313,313,George Bush,1992.0,10.0,30.166610499999997,Nevada
314,314,George Bush,1992.0,11.0,30.463973,Nevada
609,609,Bill Clinton,1996.0,9.0,47.13699526666666,Nevada
610,610,Bill Clinton,1996.0,10.0,42.88134954838709,Nevada
611,611,Bill Clinton,1996.0,11.0,42.7654884,Nevada
612,612,Bob Dole,1996.0,9.0,40.83205683333333,Nevada
613,613,Bob Dole,1996.0,10.0,42.99322451612903,Nevada
614,614,Bob Dole,1996.0,11.0,42.843947,Nevada
909,909,Al Gore,2000.0,9.0,41.399432366666666,Nevada
910,910,Al Gore,2000.0,10.0,40.63733058064515,Nevada
911,911,Al Gore,2000.0,11.0,42.49307528571428,Nevada
912,912,George W. Bush,2000.0,9.0,43.40261586666666,Nevada
913,913,George W. Bush,2000.0,10.0,46.274408161290324,Nevada
914,914,George W. Bush,2000.0,11.0,48.90800442857143,Nevada
1128,1128,George W. Bush,2004.0,9.0,49.60631026666667,Nevada
1129,1129,George W. Bush,2004.0,10.0,49.15882696774193,Nevada
1130,1130,George W. Bush,2004.0,11.0,50.36853050000001,Nevada
1356,1356,Barack Obama,2008.0,9.0,44.67340300000001,Nevada
1357,1357,Barack Obama,2008.0,10.0,48.472937,Nevada
1358,1358,Barack Obama,2008.0,11.0,49.99105525,Nevada
1359,1359,John McCain,2008.0,9.0,46.90381333333334,Nevada
1360,1360,John McCain,2008.0,10.0,45.45581880645162,Nevada
1361,1361,John McCain,2008.0,11.0,44.730356,Nevada
1566,1566,Mitt Romney,2012.0,9.0,45.28941676666667,Nevada
1567,1567,Mitt Romney,2012.0,10.0,46.97675251612904,Nevada
1568,1568,Mitt Romney,2012.0,11.0,46.79144966666666,Nevada
1794,1794,Donald Trump,2016.0,9.0,42.19475,Nevada
1795,1795,Donald Trump,2016.0,10.0,42.07733677419355,Nevada
1796,1796,Donald Trump,2016.0,11.0,44.226795,Nevada
1797,1797,Hillary Rodham Clinton,2016.0,9.0,41.48473600000001,Nevada
1798,1798,Hillary Rodham Clinton,2016.0,10.0,44.40499193548386,Nevada
1799,1799,Hillary Rodham Clinton,2016.0,11.0,44.895815,Nevada
2094,2094,Donald Trump,2020.0,9.0,40.87497766666667,Nevada
2095,2095,Donald Trump,2020.0,10.0,43.21225741935484,Nevada
2096,2096,Donald Trump,2020.0,11.0,44.40436,Nevada
2097,2097,Joseph R. Biden Jr.,2020.0,9.0,46.99730400000001,Nevada
2098,2098,Joseph R. Biden Jr.,2020.0,10.0,49.619302580645154,Nevada
2099,2099,Joseph R. Biden Jr.,2020.0,11.0,49.57324333333333,Nevada
