,Unnamed: 0,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result,rep_loyalty
0,0,1988,47.83102231,51.641748,46.1277263,Tennessee,1,1988,0.3333333333333333,Tennessee,1,0.8
1,1,1988,40.18827814,39.64093863,40.828225,Tennessee,0,1988,0.6666666666666667,Tennessee,0,0.8
2,2,1992,45.49742081,43.96998033,46.17662507,Tennessee,0,1992,0.6666666666666667,Tennessee,1,0.9
3,3,1992,33.3589531,36.70458567,34.11059137,Tennessee,1,1992,0.3333333333333333,Tennessee,0,0.9
4,4,1996,47.20583303,45.0835964,47.66116813,Tennessee,0,1996,0.6666666666666667,Tennessee,1,0.6
5,5,1996,37.99676635,41.7169418,37.4327032,Tennessee,1,1996,0.3333333333333333,Tennessee,0,0.6
6,6,2000,46.1032681,45.81341714,49.04173847,Tennessee,0,2000,0.4444444444444444,Tennessee,0,0.3
7,7,2000,43.22554703,47.18855886,38.9757393,Tennessee,1,2000,0.5555555555555556,Tennessee,1,0.3
8,8,2004,53.50489339,54.506027,51.6420181,Tennessee,1,2004,0.5555555555555556,Tennessee,1,0.5
9,9,2004,41.11485087,42.413851,40.90597127,Tennessee,0,2004,0.4444444444444444,Tennessee,0,0.5
10,10,2008,39.43061071,42.2420625,36.5846109,Tennessee,0,2008,0.5555555555555556,Tennessee,0,0.7
11,11,2008,53.57671103,54.080641,54.85754613,Tennessee,1,2008,0.4444444444444444,Tennessee,1,0.7
12,12,2012,40.16060655,39.09998633,40.52468253,Tennessee,0,2012,0.5555555555555556,Tennessee,0,0.9
13,13,2012,50.86667261,54.124364,48.17468973,Tennessee,1,2012,0.4444444444444444,Tennessee,1,0.9
14,14,2016,48.5941571,49.0931775,49.84983233,Tennessee,1,2016,0.7777777777777778,Tennessee,1,1.0
15,15,2016,35.57035161,38.49596125,32.09793567,Tennessee,0,2016,0.2222222222222222,Tennessee,0,1.0
16,16,2020,54.36909581,54.81758333,53.141783,Tennessee,1,2020,0.7777777777777778,Tennessee,1,1.0
17,17,2020,40.90583194,41.39071,40.874932,Tennessee,0,2020,0.2222222222222222,Tennessee,0,1.0
