,Unnamed: 0,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result,rep_loyalty
0,0,1988,44.22560019,45.97584425,42.26713497,Vermont,1,1988,1.0,Vermont,1,1.0
1,1,1988,40.57797487,39.633482,41.92026431,Vermont,0,1988,0.0,Vermont,0,1.0
2,2,1992,43.06150794,39.405345,42.968567,Vermont,0,1992,0.0,Vermont,1,1.0
3,3,1992,27.79126774,28.562993,32.30583423,Vermont,1,1992,1.0,Vermont,0,1.0
4,4,1996,52.89128565,51.9415508,53.5388997,Vermont,0,1996,,Vermont,1,0.6
5,5,1996,34.83588184,35.6279444,34.702180799999994,Vermont,1,1996,,Vermont,0,0.6
6,6,2000,47.95361994,47.137871,48.3837135,Vermont,0,2000,,Vermont,1,0.3
7,7,2000,34.71004477,37.93357929,32.9946635,Vermont,1,2000,,Vermont,0,0.3
8,8,2004,39.28104284,39.429539,40.13052974,Vermont,1,2004,,Vermont,0,0.1
9,9,2004,50.87349226,51.631069,49.35150047,Vermont,0,2004,,Vermont,1,0.1
10,10,2008,60.94457377,61.14753975,61.85136393,Vermont,0,2008,,Vermont,1,0.0
11,11,2008,31.46220619,32.65389425,32.027933000000004,Vermont,1,2008,,Vermont,0,0.0
12,12,2012,60.87746745,61.06521933,60.85504603,Vermont,0,2012,1.0,Vermont,1,0.0
13,13,2012,30.31454926,31.057653,28.96998673,Vermont,1,2012,0.0,Vermont,0,0.0
14,14,2016,22.92628645,25.41287,23.942656,Vermont,1,2016,0.0,Vermont,0,0.0
15,15,2016,46.36380065,53.35216875,43.41379633,Vermont,0,2016,1.0,Vermont,1,0.0
16,16,2020,29.9799971,27.95767333,32.42292778,Vermont,1,2020,0.0,Vermont,0,0.0
17,17,2020,62.50636677,66.39817,55.66207222,Vermont,0,2020,1.0,Vermont,1,0.0
