,candidate_name,cycle,month_10,month_11,month_9,state,party,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,56.38049241935485,56.6799825,53.95397696666666,Alabama,1,1,1988.0,0.3684210526315789,Alabama
1,Michael S. Dukakis,1988.0,33.29536264516129,36.285675875,31.824210966666666,Alabama,0,0,1988.0,0.631578947368421,Alabama
2,Bill Clinton,1992.0,42.9746695483871,38.69823233333333,43.97645806666666,Alabama,0,0,1992.0,0.6,Alabama
3,George Bush,1992.0,42.17550912903226,41.95679466666667,44.86585676666667,Alabama,1,1,1992.0,0.4,Alabama
4,Bill Clinton,1996.0,40.76536329032257,40.999200200000004,40.518827566666666,Alabama,0,0,1996.0,0.5,Alabama
5,Bob Dole,1996.0,45.4103141935484,46.6710146,45.73440976666666,Alabama,1,1,1996.0,0.5,Alabama
6,Al Gore,2000.0,36.686187935483865,34.995131428571426,35.3818719,Alabama,0,0,2000.0,0.42105263157894735,Alabama
7,George W. Bush,2000.0,52.51196309677419,53.11538985714286,51.69734296666668,Alabama,1,1,2000.0,0.5789473684210527,Alabama
8,George W. Bush,2004.0,57.09624370967742,56.8929845,56.02058633333333,Alabama,1,1,2004.0,0.6190476190476191,Alabama
9,John Kerry,2004.0,33.823280032258054,35.458149,35.68196086666667,Alabama,0,0,2004.0,0.3809523809523809,Alabama
10,Barack Obama,2008.0,35.05534129032258,36.2757605,34.86474183333333,Alabama,0,0,2008.0,0.4791666666666666,Alabama
11,John McCain,2008.0,57.593364935483855,58.24331225,56.55828230000001,Alabama,1,1,2008.0,0.5208333333333334,Alabama
12,Barack Obama,2012.0,36.34847316129032,36.49490933333335,36.39183706666667,Alabama,0,0,2012.0,,Alabama
13,Mitt Romney,2012.0,54.5654794516129,55.063739500000004,53.43538273333333,Alabama,1,1,2012.0,,Alabama
14,Donald Trump,2016.0,59.52888193548387,56.9036875,60.36121566666666,Alabama,1,1,2016.0,0.5,Alabama
15,Hillary Rodham Clinton,2016.0,34.18388612903227,35.15813875,32.633709,Alabama,0,0,2016.0,0.5,Alabama
16,Donald Trump,2020.0,56.498195806451605,57.39972333333333,56.56196900000001,Alabama,1,1,2020.0,0.5505617977528089,Alabama
17,Joseph R. Biden Jr.,2020.0,38.70217258064515,37.90825,39.103992,Alabama,0,0,2020.0,0.4494382022471911,Alabama
