,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,55.25413316129033,55.87525037500001,54.89827693333334,Arizona,1,1988.0,0.4744525547445255,Arizona
1,Michael S. Dukakis,1988.0,33.504580387096766,31.384993,39.128426833333336,Arizona,0,1988.0,0.5255474452554745,Arizona
2,Bill Clinton,1992.0,35.005571,32.83968533333333,37.134847633333344,Arizona,0,1992.0,0.5328467153284673,Arizona
3,George Bush,1992.0,30.934907806451626,33.539823000000005,32.97538493333334,Arizona,1,1992.0,0.4671532846715328,Arizona
4,Bill Clinton,1996.0,45.45023332258065,44.89116740000001,45.15461203333335,Arizona,0,1996.0,0.4285714285714286,Arizona
5,Bob Dole,1996.0,37.17464338709677,38.1612874,38.15053590000001,Arizona,1,1996.0,0.5714285714285714,Arizona
6,Al Gore,2000.0,39.61399122580646,39.32891514285715,38.329557333333334,Arizona,0,2000.0,0.5163398692810457,Arizona
7,George W. Bush,2000.0,46.6466995483871,50.90066828571428,43.45131593333334,Arizona,1,2000.0,0.4836601307189543,Arizona
8,George W. Bush,2004.0,50.88035545161289,51.739722,51.47714303333334,Arizona,1,2004.0,0.4591194968553459,Arizona
9,John Kerry,2004.0,41.79172932258064,42.514177000000004,39.024382933333335,Arizona,0,2004.0,0.5408805031446541,Arizona
10,Barack Obama,2008.0,41.85412525806451,45.23538,39.075042233333335,Arizona,0,2008.0,0.5833333333333333,Arizona
11,John McCain,2008.0,49.903199677419344,49.5715025,51.78969703333334,Arizona,1,2008.0,0.4166666666666667,Arizona
12,Barack Obama,2012.0,42.224723322580644,43.61271133333333,42.149739766666656,Arizona,0,2012.0,0.4666666666666667,Arizona
13,Mitt Romney,2012.0,51.574279129032256,52.54310699999999,50.677531200000004,Arizona,1,2012.0,0.5333333333333333,Arizona
14,Donald Trump,2016.0,41.88487612903227,45.13265,42.309081333333346,Arizona,1,2016.0,0.6666666666666666,Arizona
15,Hillary Rodham Clinton,2016.0,41.711892580645156,42.37993875,38.54514666666667,Arizona,0,2016.0,0.33333333333333337,Arizona
16,Donald Trump,2020.0,45.21922258064517,45.98508666666667,44.39788399999999,Arizona,1,2020.0,0.6,Arizona
17,Joseph R. Biden Jr.,2020.0,48.82835516129033,48.74862333333334,48.83625699999998,Arizona,0,2020.0,0.4,Arizona
