,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,47.66571023,50.17092925,37.5899691,Colorado,1,1988,0.428571429,Colorado,1
1,Michael S. Dukakis,1988,39.18900368,38.17255363,42.4745739,Colorado,0,1988,0.571428571,Colorado,0
2,Bill Clinton,1992,39.7662991,39.026244,42.4084749,Colorado,0,1992,0.625,Colorado,1
3,George Bush,1992,34.63421461,32.43428433,37.68147997,Colorado,1,1992,0.375,Colorado,0
4,Bill Clinton,1996,46.96296735,43.58642,48.43378767,Colorado,0,1996,0.393442623,Colorado,0
5,Bob Dole,1996,40.78663348,40.3922336,41.465493,Colorado,1,1996,0.606557377,Colorado,1
6,Al Gore,2000,36.27732435,38.74961414,39.21247127,Colorado,0,2000,0.666666667,Colorado,0
7,George W. Bush,2000,46.88893303,47.89615829,43.67601313,Colorado,1,2000,0.333333333,Colorado,1
8,George W. Bush,2004,49.18500784,49.6301475,49.58059997,Colorado,1,2004,0.333333333,Colorado,1
9,John Kerry,2004,44.4276979,45.409281,43.03596773,Colorado,0,2004,0.666666667,Colorado,0
10,Barack Obama,2008,49.80164639,51.32668975,46.89590253,Colorado,0,2008,0.512820513,Colorado,1
11,John McCain,2008,43.99477416,44.4977205,45.74806623,Colorado,1,2008,0.487179487,Colorado,0
12,Barack Obama,2012,47.42881184,47.90889433,47.80537373,Colorado,0,2012,0.421052632,Colorado,1
13,Mitt Romney,2012,47.72709426,47.76562317,46.1023871,Colorado,1,2012,0.578947368,Colorado,0
14,Donald Trump,2016,38.4452129,40.1587575,37.75336267,Colorado,1,2016,0.333333333,Colorado,0
15,Hillary Rodham Clinton,2016,43.92682484,43.45608125,40.17984033,Colorado,0,2016,0.666666667,Colorado,1
16,Donald Trump,2020,40.06908226,41.23381,40.926107,Colorado,1,2020,0.3125,Colorado,0
17,Joseph R. Biden Jr.,2020,52.75659968,53.50384,51.61724667,Colorado,0,2020,0.6875,Colorado,1
