,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,43.401945612903226,45.183143,41.59095246666666,Connecticut,1,1988.0,0.4925373134328358,Connecticut
1,Michael S. Dukakis,1988.0,39.39631348387096,38.0025765,44.58444750000001,Connecticut,0,1988.0,0.5074626865671642,Connecticut
2,Bill Clinton,1992.0,44.888416387096775,41.43925266666667,46.55472973333333,Connecticut,0,1992.0,0.5483870967741936,Connecticut
3,George Bush,1992.0,33.80341419354839,33.094086000000004,37.48795486666667,Connecticut,1,1992.0,0.4516129032258064,Connecticut
4,Bill Clinton,1996.0,50.71694238709678,49.0714552,50.38905726666667,Connecticut,0,1996.0,0.6666666666666667,Connecticut
5,Bob Dole,1996.0,31.537772129032263,29.490798600000005,35.26868653333333,Connecticut,1,1996.0,0.3333333333333333,Connecticut
6,Al Gore,2000.0,47.773210999999996,48.79343814285715,46.70011316666666,Connecticut,0,2000.0,0.4915254237288136,Connecticut
7,George W. Bush,2000.0,36.8174829032258,38.51210557142856,37.80747636666669,Connecticut,1,2000.0,0.5084745762711864,Connecticut
8,George W. Bush,2004.0,39.95967329032258,40.0288385,40.76133326666668,Connecticut,1,2004.0,0.4827586206896552,Connecticut
9,John Kerry,2004.0,51.631852,52.271467,49.41724320000001,Connecticut,0,2004.0,0.5172413793103448,Connecticut
10,Barack Obama,2008.0,55.259026451612904,57.40292074999999,53.29709500000001,Connecticut,0,2008.0,0.2857142857142857,Connecticut
11,John McCain,2008.0,36.51573309677421,36.12909300000001,39.09022503333333,Connecticut,1,2008.0,0.7142857142857143,Connecticut
12,Barack Obama,2012.0,52.49814416129034,53.63065966666666,52.62143916666666,Connecticut,0,2012.0,0.4285714285714286,Connecticut
13,Mitt Romney,2012.0,42.050569,41.479769,41.26202986666667,Connecticut,1,2012.0,0.5714285714285714,Connecticut
14,Donald Trump,2016.0,36.40187032258065,37.43536125000001,37.061720666666666,Connecticut,1,2016.0,0.6153846153846154,Connecticut
15,Hillary Rodham Clinton,2016.0,47.96680870967742,50.423315,45.43586566666667,Connecticut,0,2016.0,0.3846153846153846,Connecticut
16,Donald Trump,2020.0,33.73894193548387,32.39282,34.224352,Connecticut,1,2020.0,0.5,Connecticut
17,Joseph R. Biden Jr.,2020.0,58.42546322580647,58.22804666666667,54.93029433333334,Connecticut,0,2020.0,0.5,Connecticut
