,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,43.719565483870966,50.99662625,40.499831366666655,Delaware,1,1988.0,0.55,Delaware
1,Michael S. Dukakis,1988.0,33.82348664516129,33.89479287500001,34.957683466666666,Delaware,0,1988.0,0.45,Delaware
2,Bill Clinton,1992.0,43.65070141935484,38.313722666666656,45.67927421428572,Delaware,0,1992.0,0.4375,Delaware
3,George Bush,1992.0,30.374098548387106,32.055798,31.573240642857147,Delaware,1,1992.0,0.5625,Delaware
4,Bill Clinton,1996.0,48.33444577419355,46.904332600000004,50.7173624,Delaware,0,1996.0,0.5161290322580645,Delaware
5,Bob Dole,1996.0,35.01304393548387,36.3342444,31.550999466666664,Delaware,1,1996.0,0.4838709677419355,Delaware
6,Al Gore,2000.0,46.29387483870968,45.31923714285715,44.83446356666666,Delaware,0,2000.0,0.3571428571428571,Delaware
7,George W. Bush,2000.0,42.142618612903206,44.94906114285714,42.66193606666669,Delaware,1,2000.0,0.6428571428571429,Delaware
8,George W. Bush,2004.0,39.439924935483866,39.620877,40.8166575,Delaware,1,2004.0,0.625,Delaware
9,John Kerry,2004.0,48.8586854516129,49.4388255,48.702934875,Delaware,0,2004.0,0.375,Delaware
10,Barack Obama,2008.0,56.12165470967742,60.306077,51.822821633333334,Delaware,0,2008.0,0.4666666666666667,Delaware
11,John McCain,2008.0,37.504436064516135,35.131691000000004,41.234169133333346,Delaware,1,2008.0,0.5333333333333333,Delaware
12,Donald Trump,2016.0,32.19757709677419,35.2189225,33.929685,Delaware,1,2016.0,0.6666666666666666,Delaware
13,Hillary Rodham Clinton,2016.0,48.86549612903226,50.327765,43.75104399999999,Delaware,0,2016.0,0.33333333333333337,Delaware
14,Donald Trump,2020.0,34.31739612903226,34.72317,38.06233833333333,Delaware,1,2020.0,0.2857142857142857,Delaware
15,Joseph R. Biden Jr.,2020.0,58.971923548387096,58.80167333333333,57.384024,Delaware,0,2020.0,0.7142857142857143,Delaware
