,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,57.44828752,58.33552563,56.52244003,Florida,1,1988,0.473684211,Florida,1
1,Michael S. Dukakis,1988,34.6837429,35.4195875,36.00800113,Florida,0,1988,0.526315789,Florida,0
2,Bill Clinton,1992,38.66822461,36.47383167,38.79239507,Florida,0,1992,0.5,Florida,0
3,George Bush,1992,38.35677026,39.895828,39.64292273,Florida,1,1992,0.5,Florida,1
4,Bill Clinton,1996,46.59478755,46.3792614,46.5893828,Florida,0,1996,0.352941176,Florida,1
5,Bob Dole,1996,40.92120368,41.2475628,40.84641787,Florida,1,1996,0.647058824,Florida,0
6,Al Gore,2000,43.69805552,46.57347886,43.3775942,Florida,0,2000,0.4,Florida,0
7,George W. Bush,2000,45.02228448,45.429918,43.88456767,Florida,1,2000,0.6,Florida,1
8,George W. Bush,2004,48.75977232,47.9744115,49.53974517,Florida,1,2004,0.647058824,Florida,1
9,John Kerry,2004,46.44768781,47.4130245,44.02233027,Florida,0,2004,0.352941176,Florida,0
10,Barack Obama,2008,48.32438668,48.06866825,45.0932399,Florida,0,2008,0.461538462,Florida,1
11,John McCain,2008,45.33276,46.56100275,48.4949404,Florida,1,2008,0.538461538,Florida,0
12,Barack Obama,2012,47.08957277,47.44748817,47.6675374,Florida,0,2012,0.333333333,Florida,1
13,Mitt Romney,2012,48.71468097,49.13608517,46.7199908,Florida,1,2012,0.666666667,Florida,0
14,Donald Trump,2016,42.65801677,45.0639175,43.04179033,Florida,1,2016,0.592592593,Florida,1
15,Hillary Rodham Clinton,2016,45.80621581,46.1970725,43.52967567,Florida,0,2016,0.407407407,Florida,0
16,Donald Trump,2020,45.52105387,46.59860333,45.94659033,Florida,1,2020,0.438596491,Florida,1
17,Joseph R. Biden Jr.,2020,48.8263571,48.98198,48.333182,Florida,0,2020,0.561403509,Florida,0
