,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,51.79751338,51.90908825,51.6578483,Georgia,1,1988,0.571428571,Georgia,1
1,Michael S. Dukakis,1988,37.53831093,38.41281963,37.298773,Georgia,0,1988,0.428571429,Georgia,0
2,Bill Clinton,1992,41.05656723,39.51103033,39.8764934,Georgia,0,1992,0.571428571,Georgia,1
3,George Bush,1992,35.65134516,35.96985967,38.2716175,Georgia,1,1992,0.428571429,Georgia,0
4,Bill Clinton,1996,46.53817855,44.8197092,45.54605293,Georgia,0,1996,0.5,Georgia,0
5,Bob Dole,1996,40.57478081,41.6302896,40.888825,Georgia,1,1996,0.5,Georgia,1
6,Al Gore,2000,39.43946739,40.11264129,40.7403559,Georgia,0,2000,0.666666667,Georgia,0
7,George W. Bush,2000,48.45913694,50.95262543,44.65723987,Georgia,1,2000,0.333333333,Georgia,1
8,George W. Bush,2004,54.91503661,54.1945415,55.35152594,Georgia,1,2004,0.285714286,Georgia,1
9,John Kerry,2004,40.17168016,41.784947,39.62384856,Georgia,0,2004,0.714285714,Georgia,0
10,Barack Obama,2008,43.45626471,45.826949,40.60395263,Georgia,0,2008,0.558823529,Georgia,0
11,John McCain,2008,51.01530313,50.0376805,53.40251543,Georgia,1,2008,0.441176471,Georgia,1
12,Barack Obama,2012,42.1665601,43.63880617,42.4720641,Georgia,0,2012,0.333333333,Georgia,0
13,Mitt Romney,2012,53.19637448,53.598447,51.6907517,Georgia,1,2012,0.666666667,Georgia,1
14,Donald Trump,2016,45.40261419,47.67065875,44.58679267,Georgia,1,2016,0.666666667,Georgia,1
15,Hillary Rodham Clinton,2016,42.44864452,43.93564875,40.90339033,Georgia,0,2016,0.333333333,Georgia,0
16,Donald Trump,2020,46.65713903,47.29871,47.17044967,Georgia,1,2020,0.5,Georgia,1
17,Joseph R. Biden Jr.,2020,47.60438129,48.40758667,45.90619233,Georgia,0,2020,0.5,Georgia,0
