,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,36.09148848387097,37.7117245,33.948940105263155,Hawaii,1,1988.0,0.21428571428571427,Hawaii
1,Michael S. Dukakis,1988.0,40.31302380645161,39.427114625,41.80558247368422,Hawaii,0,1988.0,0.7857142857142857,Hawaii
2,Bill Clinton,1992.0,43.102253225806464,42.65768933333333,42.892900133333335,Hawaii,0,1992.0,0.75,Hawaii
3,George Bush,1992.0,27.551265483870967,26.56985833333333,31.097504300000004,Hawaii,1,1992.0,0.25,Hawaii
4,Bill Clinton,1996.0,52.59063609677419,53.42092760000001,52.71648826666668,Hawaii,0,1996.0,0.5,Hawaii
5,Bob Dole,1996.0,33.86998616129033,31.1091224,34.556883066666664,Hawaii,1,1996.0,0.5,Hawaii
6,Al Gore,2000.0,50.44742322580645,51.874413857142855,47.76210663333334,Hawaii,0,2000.0,0.75,Hawaii
7,George W. Bush,2000.0,33.884107967741926,34.87764885714285,34.53862120000001,Hawaii,1,2000.0,0.25,Hawaii
8,George W. Bush,2004.0,42.26425777419355,43.6774665,42.87604296666665,Hawaii,1,2004.0,0.16666666666666666,Hawaii
9,John Kerry,2004.0,47.673750645161284,46.172645,47.045700733333334,Hawaii,0,2004.0,0.8333333333333334,Hawaii
10,Barack Obama,2008.0,66.51933664516129,61.30717975,62.16081756666666,Hawaii,0,2008.0,0.6521739130434783,Hawaii
11,John McCain,2008.0,27.76953629032258,32.4342365,31.5660674,Hawaii,1,2008.0,0.3478260869565217,Hawaii
12,Barack Obama,2012.0,61.113244129032246,61.26550916666667,61.994855,Hawaii,0,2012.0,0.6,Hawaii
13,Mitt Romney,2012.0,32.69118925806451,33.99510983333334,31.22019966666667,Hawaii,1,2012.0,0.4,Hawaii
14,Donald Trump,2016.0,27.891031612903234,28.94064625,27.84990433333333,Hawaii,1,2016.0,0.65,Hawaii
15,Hillary Rodham Clinton,2016.0,53.533338064516144,52.03343000000001,51.74910433333334,Hawaii,0,2016.0,0.35,Hawaii
16,Donald Trump,2020.0,31.226179677419356,30.17674333333333,31.015039,Hawaii,1,2020.0,0.6111111111111112,Hawaii
17,Joseph R. Biden Jr.,2020.0,62.01144,64.22975,56.535864333333336,Hawaii,0,2020.0,0.3888888888888888,Hawaii
