,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,45.81344894,47.71475988,43.75238157,Illinois,1,1988,0.444444444,Illinois,1
1,Michael S. Dukakis,1988,44.41209848,44.87497025,47.63822743,Illinois,0,1988,0.555555556,Illinois,0
2,Bill Clinton,1992,46.450894,44.77122,46.14818817,Illinois,0,1992,0.5,Illinois,1
3,George Bush,1992,29.5303701,32.89091533,33.097509,Illinois,1,1992,0.5,Illinois,0
4,Bill Clinton,1996,51.74532529,50.4154846,52.61919323,Illinois,0,1996,0.576923077,Illinois,1
5,Bob Dole,1996,33.03196506,34.6148674,32.743182,Illinois,1,1996,0.423076923,Illinois,0
6,Al Gore,2000,45.57390974,46.43526286,47.28545783,Illinois,0,2000,0.518518519,Illinois,1
7,George W. Bush,2000,39.31142226,41.78420971,37.94515267,Illinois,1,2000,0.481481481,Illinois,0
8,George W. Bush,2004,41.15416268,42.788786,42.23683097,Illinois,1,2004,0.518518519,Illinois,0
9,John Kerry,2004,51.23999645,52.137962,48.579464,Illinois,0,2004,0.481481481,Illinois,1
10,Barack Obama,2008,56.17357023,59.5191355,54.01813293,Illinois,0,2008,0.454545455,Illinois,1
11,John McCain,2008,36.66772571,36.88090225,38.5873165,Illinois,1,2008,0.545454545,Illinois,0
12,Barack Obama,2012,53.99713694,55.72174683,53.66088103,Illinois,0,2012,0.5,Illinois,1
13,Mitt Romney,2012,37.33339887,39.241888,34.89111027,Illinois,1,2012,0.5,Illinois,0
14,Donald Trump,2016,33.04062258,36.57578875,33.879105,Illinois,1,2016,0.553191489,Illinois,0
15,Hillary Rodham Clinton,2016,50.11985452,50.862815,47.917691,Illinois,0,2016,0.446808511,Illinois,1
16,Donald Trump,2020,38.77779742,39.72775333,39.81810667,Illinois,1,2020,0.2,Illinois,0
17,Joseph R. Biden Jr.,2020,55.64252097,54.94337667,52.91033667,Illinois,0,2020,0.8,Illinois,1
