,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,54.44710470967742,55.78406500000001,52.86450043333334,Indiana,1,1988.0,0.6666666666666666,Indiana
1,Michael S. Dukakis,1988.0,34.97883119354839,34.25547225,36.11725173333333,Indiana,0,1988.0,0.33333333333333337,Indiana
2,Bill Clinton,1992.0,36.74463338709678,34.34497966666667,37.96808593103447,Indiana,0,1992.0,0.4,Indiana
3,George Bush,1992.0,40.64142125806453,40.803331,46.27484824137931,Indiana,1,1992.0,0.6,Indiana
4,Bill Clinton,1996.0,39.911336322580645,38.696434,39.9054985,Indiana,0,1996.0,0.5714285714285714,Indiana
5,Bob Dole,1996.0,41.005815193548386,41.06741000000001,40.721718900000006,Indiana,1,1996.0,0.42857142857142855,Indiana
6,Al Gore,2000.0,34.41150583870967,33.89558614285714,37.08185556666667,Indiana,0,2000.0,0.2222222222222222,Indiana
7,George W. Bush,2000.0,47.562707,54.16990242857143,46.50933896666667,Indiana,1,2000.0,0.7777777777777778,Indiana
8,George W. Bush,2004.0,57.259096645161286,57.380412,55.55813726666668,Indiana,1,2004.0,0.8571428571428571,Indiana
9,John Kerry,2004.0,35.65742016129032,37.14813350000001,35.233629866666654,Indiana,0,2004.0,0.1428571428571429,Indiana
10,Barack Obama,2008.0,45.92987590322582,46.90495824999999,44.38189086666666,Indiana,0,2008.0,0.33333333333333337,Indiana
11,John McCain,2008.0,46.966307387096776,47.87179999999999,47.99939273333334,Indiana,1,2008.0,0.6666666666666666,Indiana
12,Barack Obama,2012.0,41.088073,41.91796400000001,40.884019266666655,Indiana,0,2012.0,0.33333333333333337,Indiana
13,Mitt Romney,2012.0,52.706401548387106,53.303826,49.93339563333333,Indiana,1,2012.0,0.6666666666666666,Indiana
14,Donald Trump,2016.0,46.02879451612904,49.777885,47.33826566666666,Indiana,1,2016.0,0.5454545454545454,Indiana
15,Hillary Rodham Clinton,2016.0,37.84219645161289,37.767555,35.89693433333333,Indiana,0,2016.0,0.4545454545454546,Indiana
16,Donald Trump,2020.0,51.91274903225806,52.29236333333333,53.29434200000001,Indiana,1,2020.0,0.4482758620689655,Indiana
17,Joseph R. Biden Jr.,2020.0,41.0857922580645,41.97169333333333,38.885418,Indiana,0,2020.0,0.5517241379310345,Indiana
