,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,40.50563358064517,41.83259675000001,38.15701353333334,Iowa,1,1988.0,0.6666666666666666,Iowa
1,Michael S. Dukakis,1988.0,49.29866893548387,48.66351025,50.9211923,Iowa,0,1988.0,0.33333333333333337,Iowa
2,Bill Clinton,1992.0,40.87695499999999,39.020119,39.3874203,Iowa,0,1992.0,0.375,Iowa
3,George Bush,1992.0,32.61155722580645,33.05033033333333,34.54417253333334,Iowa,1,1992.0,0.625,Iowa
4,Bill Clinton,1996.0,49.50990500000001,47.628840600000004,49.25694873333334,Iowa,0,1996.0,0.4,Iowa
5,Bob Dole,1996.0,33.27307090322581,34.844031599999994,32.648129600000004,Iowa,1,1996.0,0.6,Iowa
6,Al Gore,2000.0,41.90088377419355,44.363256571428565,41.509922166666655,Iowa,0,2000.0,0.33333333333333337,Iowa
7,George W. Bush,2000.0,39.938212,44.390349285714294,36.59733696666667,Iowa,1,2000.0,0.6666666666666666,Iowa
8,George W. Bush,2004.0,47.67801980645161,47.445953,48.1451139,Iowa,1,2004.0,0.7142857142857143,Iowa
9,John Kerry,2004.0,45.911275354838715,46.318958,45.70302153333335,Iowa,0,2004.0,0.2857142857142857,Iowa
10,Barack Obama,2008.0,52.811548838709676,52.89794800000001,50.22754753333334,Iowa,0,2008.0,0.4,Iowa
11,John McCain,2008.0,40.75415067741936,40.17364050000001,43.2907749,Iowa,1,2008.0,0.6,Iowa
12,Barack Obama,2012.0,48.42395303225807,48.16182166666667,47.16252113333334,Iowa,0,2012.0,0.5,Iowa
13,Mitt Romney,2012.0,46.721839354838714,46.51622,45.23832213333334,Iowa,1,2012.0,0.5,Iowa
14,Donald Trump,2016.0,41.63280193548387,44.56807875,41.81599199999999,Iowa,1,2016.0,0.75,Iowa
15,Hillary Rodham Clinton,2016.0,40.34105999999999,41.05844,38.65135400000001,Iowa,0,2016.0,0.25,Iowa
16,Donald Trump,2020.0,46.86447258064516,47.52277,46.80826000000001,Iowa,1,2020.0,0.5833333333333334,Iowa
17,Joseph R. Biden Jr.,2020.0,47.24081903225808,46.13260666666667,45.40244299999999,Iowa,0,2020.0,0.4166666666666666,Iowa
