,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,45.48316164516129,47.732160875,40.920376566666654,Maryland,1,1988.0,0.5,Maryland
1,Michael S. Dukakis,1988.0,45.855678774193535,45.289959625,47.94349126666667,Maryland,0,1988.0,0.5,Maryland
2,Bill Clinton,1992.0,43.13680209677419,43.544087,43.74300223333334,Maryland,0,1992.0,0.4285714285714286,Maryland
3,George Bush,1992.0,32.65877083870968,32.88251333333333,35.4332775,Maryland,1,1992.0,0.5714285714285714,Maryland
4,Bill Clinton,1996.0,52.90975122580645,51.90805539999999,53.78154766666667,Maryland,0,1996.0,0.5294117647058825,Maryland
5,Bob Dole,1996.0,36.71905699999999,36.652487,36.702900033333336,Maryland,1,1996.0,0.4705882352941176,Maryland
6,Al Gore,2000.0,49.59688493548386,51.29406514285715,49.08817353333333,Maryland,0,2000.0,0.6666666666666667,Maryland
7,George W. Bush,2000.0,37.16591332258064,39.802637,35.60324190000001,Maryland,1,2000.0,0.3333333333333333,Maryland
8,George W. Bush,2004.0,42.32215396774194,41.22031650000001,42.97563413333333,Maryland,1,2004.0,0.3333333333333333,Maryland
9,John Kerry,2004.0,52.2241015483871,54.1446975,49.68864173333333,Maryland,0,2004.0,0.6666666666666667,Maryland
10,Barack Obama,2008.0,56.54077087096775,59.755692,53.22231313333334,Maryland,0,2008.0,0.5084745762711864,Maryland
11,John McCain,2008.0,36.18436261290322,36.375099,38.66654550000001,Maryland,1,2008.0,0.4915254237288136,Maryland
12,Barack Obama,2012.0,56.827571516129034,57.34714433333335,57.42435250000001,Maryland,0,2012.0,0.5081967213114754,Maryland
13,Mitt Romney,2012.0,37.160029612903216,37.58160433333335,36.3241799,Maryland,1,2012.0,0.4918032786885246,Maryland
14,Donald Trump,2016.0,27.11351677419355,27.46572375,28.290517,Maryland,1,2016.0,0.7333333333333333,Maryland
15,Hillary Rodham Clinton,2016.0,60.62116161290322,60.788575,57.85967266666668,Maryland,0,2016.0,0.2666666666666667,Maryland
16,Donald Trump,2020.0,31.138793870967746,31.72513666666667,34.020160000000004,Maryland,1,2020.0,0.5918367346938775,Maryland
17,Joseph R. Biden Jr.,2020.0,62.46487612903226,62.59121,60.37683000000001,Maryland,0,2020.0,0.4081632653061225,Maryland
