,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,42.945851935483866,43.3539495,42.92891103333332,Massachusetts,1,1988.0,0.25,Massachusetts
1,Michael S. Dukakis,1988.0,45.67990667741936,47.519558375,46.123303566666664,Massachusetts,0,1988.0,0.75,Massachusetts
2,Bill Clinton,1992.0,43.995087677419356,41.53491500000001,39.67253396666667,Massachusetts,0,1992.0,0.6666666666666667,Massachusetts
3,George Bush,1992.0,24.53092593548387,24.533690333333336,27.73067533333333,Massachusetts,1,1992.0,0.3333333333333333,Massachusetts
4,Bill Clinton,1996.0,58.49841629032259,57.37613020000001,61.399846200000006,Massachusetts,0,1996.0,0.5714285714285714,Massachusetts
5,Bob Dole,1996.0,28.65871867741936,27.16385480000001,30.177124866666666,Massachusetts,1,1996.0,0.42857142857142855,Massachusetts
6,Al Gore,2000.0,56.551763516129036,54.73248228571428,58.0129838,Massachusetts,0,2000.0,0.33333333333333337,Massachusetts
7,George W. Bush,2000.0,26.9312370967742,30.096664,25.57064650000001,Massachusetts,1,2000.0,0.6666666666666666,Massachusetts
8,George W. Bush,2004.0,31.444267741935484,31.71694900000001,32.110300466666665,Massachusetts,1,2004.0,0.75,Massachusetts
9,John Kerry,2004.0,58.63152074193549,59.0622595,57.64402883333332,Massachusetts,0,2004.0,0.25,Massachusetts
10,Barack Obama,2008.0,56.929355161290324,56.512099000000006,52.48731910000001,Massachusetts,0,2008.0,0.4444444444444444,Massachusetts
11,John McCain,2008.0,35.88702706451614,38.21634750000001,38.9701701,Massachusetts,1,2008.0,0.5555555555555556,Massachusetts
12,Barack Obama,2012.0,56.73702429032257,56.83398966666667,56.08321843333333,Massachusetts,0,2012.0,0.3636363636363637,Massachusetts
13,Mitt Romney,2012.0,37.86713309677421,39.36342583333335,37.508183700000004,Massachusetts,1,2012.0,0.6363636363636364,Massachusetts
14,Donald Trump,2016.0,29.54234580645161,27.86253625,31.107871333333332,Massachusetts,1,2016.0,0.5849056603773585,Massachusetts
15,Hillary Rodham Clinton,2016.0,53.831303225806465,55.97082750000001,51.411605,Massachusetts,0,2016.0,0.4150943396226415,Massachusetts
16,Donald Trump,2020.0,28.710666774193548,29.008940000000006,29.802931,Massachusetts,1,2020.0,0.4,Massachusetts
17,Joseph R. Biden Jr.,2020.0,65.92735806451613,65.05244333333333,63.87440266666668,Massachusetts,0,2020.0,0.6,Massachusetts
