,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,46.73394532,46.67203625,43.7080065,Michigan,1,1988,0.402777778,Michigan,1
1,Michael S. Dukakis,1988,42.58138939,42.79886488,41.26762307,Michigan,0,1988,0.597222222,Michigan,0
2,Bill Clinton,1992,43.59820765,39.06903233,42.32066487,Michigan,0,1992,0.637681159,Michigan,1
3,George Bush,1992,30.92501635,32.61894833,35.50752647,Michigan,1,1992,0.362318841,Michigan,0
4,Bill Clinton,1996,48.30020632,47.3011286,49.22556087,Michigan,0,1996,0.666666667,Michigan,1
5,Bob Dole,1996,33.92689135,34.6743466,33.99027007,Michigan,1,1996,0.333333333,Michigan,0
6,Al Gore,2000,42.23119948,45.65483671,41.50490863,Michigan,0,2000,0.5375,Michigan,1
7,George W. Bush,2000,43.45956587,43.45772257,41.69905383,Michigan,1,2000,0.4625,Michigan,0
8,George W. Bush,2004,44.44039568,45.051689,45.1038917,Michigan,1,2004,0.483146067,Michigan,0
9,John Kerry,2004,48.65491439,48.718391,46.79454947,Michigan,0,2004,0.516853933,Michigan,1
10,Barack Obama,2008,51.75319771,53.702902,47.56165803,Michigan,0,2008,0.517241379,Michigan,1
11,John McCain,2008,39.97696574,40.39696525,43.860171,Michigan,1,2008,0.482758621,Michigan,0
12,Barack Obama,2012,49.36896926,49.54796983,48.785587,Michigan,0,2012,0.451612903,Michigan,1
13,Mitt Romney,2012,44.25056813,45.3906945,42.81953033,Michigan,1,2012,0.548387097,Michigan,0
14,Donald Trump,2016,37.13221871,41.20910875,37.86537733,Michigan,1,2016,0.684210526,Michigan,1
15,Hillary Rodham Clinton,2016,45.10832452,45.5531175,42.51461767,Michigan,0,2016,0.315789474,Michigan,0
16,Donald Trump,2020,42.7862429,43.15237333,42.68178567,Michigan,1,2020,0.333333333,Michigan,0
17,Joseph R. Biden Jr.,2020,50.63295129,51.15499667,49.81474833,Michigan,0,2020,0.666666667,Michigan,1
