,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,42.61104080645162,44.93573725,40.64239849999999,Minnesota,1,1988.0,1.0,Minnesota
1,Michael S. Dukakis,1988.0,47.89954416129032,47.72298612500001,48.24914503333334,Minnesota,0,1988.0,0.0,Minnesota
2,Bill Clinton,1992.0,44.56613587096772,42.234835,45.56100699999999,Minnesota,0,1992.0,0.33333333333333337,Minnesota
3,George Bush,1992.0,32.14808325806452,32.21124866666667,35.166428933333336,Minnesota,1,1992.0,0.6666666666666666,Minnesota
4,Bill Clinton,1996.0,53.65951029032257,52.15047180000001,55.6543733,Minnesota,0,1996.0,0.5444444444444444,Minnesota
5,Bob Dole,1996.0,32.079342129032256,31.994421000000006,31.75135866666666,Minnesota,1,1996.0,0.4555555555555556,Minnesota
6,Al Gore,2000.0,44.3466884516129,44.196393714285705,46.33013626666666,Minnesota,0,2000.0,0.0,Minnesota
7,George W. Bush,2000.0,40.47368351612904,41.09516300000001,37.703986,Minnesota,1,2000.0,1.0,Minnesota
8,George W. Bush,2004.0,44.51725687096775,45.232135,45.24262926666667,Minnesota,1,2004.0,1.0,Minnesota
9,John Kerry,2004.0,47.80344429032258,48.196207,45.93793576666667,Minnesota,0,2004.0,0.0,Minnesota
10,Barack Obama,2008.0,51.07466909677419,52.47920075,49.1019439,Minnesota,0,2008.0,0.4444444444444444,Minnesota
11,John McCain,2008.0,41.850370064516135,41.85098650000001,44.15884533333334,Minnesota,1,2008.0,0.5555555555555556,Minnesota
12,Barack Obama,2012.0,50.2165174516129,50.67649883333333,50.28293073333334,Minnesota,0,2012.0,0.4444444444444444,Minnesota
13,Mitt Romney,2012.0,43.54511961290322,44.83020450000001,41.26397293333332,Minnesota,1,2012.0,0.5555555555555556,Minnesota
14,Donald Trump,2016.0,38.82059967741935,38.789895,38.195824,Minnesota,1,2016.0,0.6153846153846154,Minnesota
15,Hillary Rodham Clinton,2016.0,45.73835225806453,46.94146875,43.150122,Minnesota,0,2016.0,0.3846153846153846,Minnesota
16,Donald Trump,2020.0,41.81980967741936,42.63173,42.913794,Minnesota,1,2020.0,0.75,Minnesota
17,Joseph R. Biden Jr.,2020.0,50.531069677419346,51.80381,50.66559633333333,Minnesota,0,2020.0,0.25,Minnesota
