,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,56.21273170967742,57.750501875,54.39344336666666,Mississippi,1,1988.0,0.4583333333333333,Mississippi
1,Michael S. Dukakis,1988.0,36.23463874193549,36.066865,37.3135552,Mississippi,0,1988.0,0.5416666666666667,Mississippi
2,Bill Clinton,1992.0,34.31734470967742,36.591175,31.665138566666666,Mississippi,0,1992.0,0.5416666666666667,Mississippi
3,George Bush,1992.0,43.69996332258065,40.314745,48.79437616666666,Mississippi,1,1992.0,0.4583333333333333,Mississippi
4,Bill Clinton,1996.0,38.94892829032258,39.177520200000004,37.23272966666666,Mississippi,0,1996.0,0.0,Mississippi
5,Bob Dole,1996.0,44.928591225806464,46.749139,40.70321653333335,Mississippi,1,1996.0,1.0,Mississippi
6,Al Gore,2000.0,39.61929751612904,37.72165142857143,44.0966552,Mississippi,0,2000.0,0.5,Mississippi
7,George W. Bush,2000.0,48.72002887096774,52.224458428571424,47.69167516666667,Mississippi,1,2000.0,0.5,Mississippi
8,George W. Bush,2004.0,54.55343532258063,54.67754300000001,59.27131106666668,Mississippi,1,2004.0,0.4444444444444444,Mississippi
9,John Kerry,2004.0,38.480340451612896,38.8856885,33.872363066666665,Mississippi,0,2004.0,0.5555555555555556,Mississippi
10,Barack Obama,2008.0,42.161483387096794,41.374568,41.9603939,Mississippi,0,2008.0,0.4,Mississippi
11,John McCain,2008.0,51.996192516129035,52.1573185,54.51474433333333,Mississippi,1,2008.0,0.6,Mississippi
12,Donald Trump,2016.0,50.22440225806451,49.82328875,50.59486100000001,Mississippi,1,2016.0,0.6153846153846154,Mississippi
13,Hillary Rodham Clinton,2016.0,41.90332677419355,41.25780375,40.66510066666667,Mississippi,0,2016.0,0.3846153846153846,Mississippi
14,Donald Trump,2020.0,53.884359354838715,55.52973666666667,53.161151333333336,Mississippi,1,2020.0,0.5486725663716814,Mississippi
15,Joseph R. Biden Jr.,2020.0,40.066379677419356,39.458483333333334,40.97630633333333,Mississippi,0,2020.0,0.4513274336283186,Mississippi
