,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,45.97883441935484,48.0614035,46.115788,Missouri,1,1988.0,0.4583333333333333,Missouri
1,Michael S. Dukakis,1988.0,40.21699964516129,41.65964025,40.58450166666668,Missouri,0,1988.0,0.5416666666666667,Missouri
2,Bill Clinton,1992.0,45.217128806451605,40.71034066666667,48.696467166666686,Missouri,0,1992.0,0.48,Missouri
3,George Bush,1992.0,29.748329612903234,30.528731333333337,33.2896553,Missouri,1,1992.0,0.52,Missouri
4,Bill Clinton,1996.0,48.37925261290322,46.8124576,49.37282283333332,Missouri,0,1996.0,0.5151515151515151,Missouri
5,Bob Dole,1996.0,37.48599135483871,37.4329756,37.43134676666667,Missouri,1,1996.0,0.4848484848484849,Missouri
6,Al Gore,2000.0,42.30609487096776,44.59377957142856,43.03544483333334,Missouri,0,2000.0,0.4642857142857143,Missouri
7,George W. Bush,2000.0,43.09311748387098,47.33380442857143,41.18784230000001,Missouri,1,2000.0,0.5357142857142857,Missouri
8,George W. Bush,2004.0,49.82002106451613,51.3334845,49.93338153333333,Missouri,1,2004.0,0.4782608695652174,Missouri
9,John Kerry,2004.0,44.81697219354837,45.377941,42.82478660000001,Missouri,0,2004.0,0.5217391304347826,Missouri
10,Barack Obama,2008.0,47.688054322580655,47.31294975,44.0498642,Missouri,0,2008.0,0.5555555555555556,Missouri
11,John McCain,2008.0,46.52496093548388,48.16362075000001,49.86695139999999,Missouri,1,2008.0,0.4444444444444444,Missouri
12,Barack Obama,2012.0,42.293997,42.329741833333344,42.10348153333333,Missouri,0,2012.0,0.5,Missouri
13,Mitt Romney,2012.0,52.42890451612902,54.20681216666667,50.92454286666667,Missouri,1,2012.0,0.5,Missouri
14,Donald Trump,2016.0,46.70303096774193,50.22547874999999,46.24016766666667,Missouri,1,2016.0,0.59375,Missouri
15,Hillary Rodham Clinton,2016.0,39.75057483870968,38.29679625,38.44530133333333,Missouri,0,2016.0,0.40625,Missouri
16,Donald Trump,2020.0,51.04067129032258,51.32842666666666,50.380241,Missouri,1,2020.0,0.3333333333333333,Missouri
17,Joseph R. Biden Jr.,2020.0,44.803948064516135,43.777013333333336,43.739276333333336,Missouri,0,2020.0,0.6666666666666667,Missouri
