,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,48.29500716,52.39735875,42.2709893,New Jersey,1,1988,0.463414634,New Jersey,1
1,Michael S. Dukakis,1988,37.64939823,40.28279563,31.9951249,New Jersey,0,1988,0.536585366,New Jersey,0
2,Bill Clinton,1992,43.04550326,39.111969,44.0571182,New Jersey,0,1992,0.547619048,New Jersey,1
3,George Bush,1992,31.38696335,32.03506367,36.00172413,New Jersey,1,1992,0.452380952,New Jersey,0
4,Bill Clinton,1996,49.68481097,48.637142,50.94837953,New Jersey,0,1996,0.428571429,New Jersey,1
5,Bob Dole,1996,33.13509455,31.496159,34.56433013,New Jersey,1,1996,0.571428571,New Jersey,0
6,Al Gore,2000,46.71440019,47.710884,46.84372163,New Jersey,0,2000,0.5,New Jersey,1
7,George W. Bush,2000,36.77490271,39.03373071,35.59728167,New Jersey,1,2000,0.5,New Jersey,0
8,George W. Bush,2004,43.20957161,41.848388,43.74374763,New Jersey,1,2004,0.475,New Jersey,0
9,John Kerry,2004,49.187701,49.0823955,46.31605583,New Jersey,0,2004,0.525,New Jersey,1
10,Barack Obama,2008,53.00578455,54.80526025,49.52007307,New Jersey,0,2008,0.5,New Jersey,1
11,John McCain,2008,39.2777021,38.106201,42.22526387,New Jersey,1,2008,0.5,New Jersey,0
12,Barack Obama,2012,52.04112635,52.33662817,51.5814102,New Jersey,0,2012,0.5,New Jersey,1
13,Mitt Romney,2012,41.04128816,41.567017,39.41056703,New Jersey,1,2012,0.5,New Jersey,0
14,Donald Trump,2016,36.78221548,38.00415,37.06306267,New Jersey,1,2016,0.6,New Jersey,0
15,Hillary Rodham Clinton,2016,49.37764161,51.7981825,47.012706,New Jersey,0,2016,0.4,New Jersey,1
16,Donald Trump,2020,36.54412968,37.69376333,36.146565,New Jersey,1,2020,0.666666667,New Jersey,0
17,Joseph R. Biden Jr.,2020,56.49947065,58.81753667,55.38629533,New Jersey,0,2020,0.333333333,New Jersey,1
