,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,50.75756838,51.50605538,50.252527,New Mexico,1,1988,0.555555556,New Mexico,1
1,Michael S. Dukakis,1988,38.56250654,38.248122,38.394872,New Mexico,0,1988,0.444444444,New Mexico,0
2,Bill Clinton,1992,42.74293203,39.82296633,44.27476635,New Mexico,0,1992,0.375,New Mexico,1
3,George Bush,1992,31.85953652,33.909873,33.33832645,New Mexico,1,1992,0.625,New Mexico,0
4,Bill Clinton,1996,48.56376745,47.5089604,49.32541777,New Mexico,0,1996,0.428571429,New Mexico,1
5,Bob Dole,1996,34.17995052,33.8551606,33.8581804,New Mexico,1,1996,0.571428571,New Mexico,0
6,Al Gore,2000,41.44933487,43.65066657,42.0159791,New Mexico,0,2000,0.4,New Mexico,1
7,George W. Bush,2000,43.55068877,44.62304443,41.03648327,New Mexico,1,2000,0.6,New Mexico,0
8,George W. Bush,2004,46.4562749,48.478511,46.59440523,New Mexico,1,2004,0.555555556,New Mexico,1
9,John Kerry,2004,46.74802216,44.9656315,44.487349,New Mexico,0,2004,0.444444444,New Mexico,0
10,Barack Obama,2008,51.43546626,53.56755075,49.3343878,New Mexico,0,2008,0.552631579,New Mexico,1
11,John McCain,2008,42.8630739,43.785311,44.57778653,New Mexico,1,2008,0.447368421,New Mexico,0
12,Barack Obama,2012,50.15358681,50.08875333,50.63466347,New Mexico,0,2012,0.525,New Mexico,1
13,Mitt Romney,2012,43.08168348,43.38283233,41.18245583,New Mexico,1,2012,0.475,New Mexico,0
14,Donald Trump,2016,33.48416387,37.44790375,32.448424,New Mexico,1,2016,0.538461538,New Mexico,0
15,Hillary Rodham Clinton,2016,42.47761161,43.60113,39.026777,New Mexico,0,2016,0.461538462,New Mexico,1
16,Donald Trump,2020,40.87792548,42.17272667,41.44242833,New Mexico,1,2020,0.666666667,New Mexico,0
17,Joseph R. Biden Jr.,2020,53.69227935,53.82389333,54.00300867,New Mexico,0,2020,0.333333333,New Mexico,1
