,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,43.35256242,46.17912563,41.901752,New York,1,1988,0.444444444,New York,0
1,Michael S. Dukakis,1988,46.56260587,45.7048975,48.0462133,New York,0,1988,0.555555556,New York,1
2,Bill Clinton,1992,51.27812106,48.00412033,47.91303477,New York,0,1992,0.541666667,New York,1
3,George Bush,1992,28.6373329,28.753226,32.25109703,New York,1,1992,0.458333333,New York,0
4,Bill Clinton,1996,55.54057474,54.7126482,55.94429873,New York,0,1996,0.476190476,New York,1
5,Bob Dole,1996,29.65037913,28.7917536,31.01768343,New York,1,1996,0.523809524,New York,0
6,Al Gore,2000,53.85523313,52.65072171,53.61169273,New York,0,2000,0.531914894,New York,1
7,George W. Bush,2000,33.12396284,35.699193,32.31492653,New York,1,2000,0.468085106,New York,0
8,George W. Bush,2004,37.17366423,37.9575305,38.71613537,New York,1,2004,0.448275862,New York,0
9,John Kerry,2004,53.74432406,54.8619575,51.4136041,New York,0,2004,0.551724138,New York,1
10,Barack Obama,2008,58.66503116,61.5178155,52.82421493,New York,0,2008,0.444444444,New York,1
11,John McCain,2008,34.39229416,33.329332,38.5062194,New York,1,2008,0.555555556,New York,0
12,Barack Obama,2012,59.34737374,59.86475317,59.28468767,New York,0,2012,0.6,New York,1
13,Mitt Romney,2012,35.96390452,36.13141383,34.64244673,New York,1,2012,0.4,New York,0
14,Donald Trump,2016,32.21815323,33.976975,33.525467,New York,1,2016,0.428571429,New York,0
15,Hillary Rodham Clinton,2016,52.1927529,53.67475375,50.36933967,New York,0,2016,0.571428571,New York,1
16,Donald Trump,2020,31.72833065,32.64723667,33.39495333,New York,1,2020,0.357142857,New York,0
17,Joseph R. Biden Jr.,2020,62.10825484,62.50702667,60.14931067,New York,0,2020,0.642857143,New York,1
