,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,49.691160483870966,52.07090875,48.2779497,North Carolina,1,1988.0,0.4594594594594595,North Carolina
1,Michael S. Dukakis,1988.0,41.533252225806436,40.669158375,41.2920956,North Carolina,0,1988.0,0.5405405405405406,North Carolina
2,Bill Clinton,1992.0,43.52488603225808,40.21461566666667,43.36673706666667,North Carolina,0,1992.0,0.5588235294117647,North Carolina
3,George Bush,1992.0,35.68630403225807,36.89955366666667,37.7926628,North Carolina,1,1992.0,0.4411764705882353,North Carolina
4,Bill Clinton,1996.0,43.27806783870968,43.743096200000004,42.92776549999999,North Carolina,0,1996.0,0.4444444444444444,North Carolina
5,Bob Dole,1996.0,45.23769012903225,45.871641800000006,45.22061823333333,North Carolina,1,1996.0,0.5555555555555556,North Carolina
6,Al Gore,2000.0,41.63381374193549,41.31014157142858,42.71177543333333,North Carolina,0,2000.0,0.4705882352941176,North Carolina
7,George W. Bush,2000.0,47.213365612903225,50.812349714285716,45.4348359,North Carolina,1,2000.0,0.5294117647058824,North Carolina
8,George W. Bush,2004.0,51.36248816129032,51.6988505,51.98524133333333,North Carolina,1,2004.0,0.5263157894736842,North Carolina
9,John Kerry,2004.0,43.658270677419345,43.46926550000001,42.78624053333333,North Carolina,0,2004.0,0.4736842105263158,North Carolina
10,Barack Obama,2008.0,47.98958970967742,48.38422299999999,44.43672983333333,North Carolina,0,2008.0,0.6091954022988505,North Carolina
11,John McCain,2008.0,46.552449354838686,47.28269875,48.55667853333333,North Carolina,1,2008.0,0.3908045977011495,North Carolina
12,Barack Obama,2012.0,46.21012216129032,46.3722685,46.02774326666666,North Carolina,0,2012.0,0.6043956043956045,North Carolina
13,Mitt Romney,2012.0,49.331575064516116,49.50553216666668,47.80818466666666,North Carolina,1,2012.0,0.3956043956043956,North Carolina
14,Donald Trump,2016.0,42.442403870967716,45.15434625,42.81088066666667,North Carolina,1,2016.0,0.5,North Carolina
15,Hillary Rodham Clinton,2016.0,45.052809354838715,46.47452,42.79369733333333,North Carolina,0,2016.0,0.5,North Carolina
16,Donald Trump,2020.0,46.311940645161286,47.02798666666666,46.593059666666676,North Carolina,1,2020.0,0.2857142857142857,North Carolina
17,Joseph R. Biden Jr.,2020.0,48.85584870967742,48.84857666666666,47.92019733333333,North Carolina,0,2020.0,0.7142857142857143,North Carolina
