,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,52.26765612903226,53.860393625,45.88525589999999,North Dakota,1,1988.0,0.3333333333333333,North Dakota
1,Michael S. Dukakis,1988.0,36.20799412903225,35.526470625,45.03169933333334,North Dakota,0,1988.0,0.6666666666666667,North Dakota
2,Bill Clinton,1992.0,34.31645235483871,31.03916833333333,34.73192086666667,North Dakota,0,1992.0,0.6666666666666667,North Dakota
3,George Bush,1992.0,36.86633370967742,39.11059566666667,39.9207493,North Dakota,1,1992.0,0.3333333333333333,North Dakota
4,Bill Clinton,1996.0,38.275202741935495,36.11869280000001,42.85891396666668,North Dakota,0,1996.0,0.5274725274725275,North Dakota
5,Bob Dole,1996.0,42.338960419354855,41.504964,41.186364033333334,North Dakota,1,1996.0,0.4725274725274725,North Dakota
6,Al Gore,2000.0,34.37252367741936,34.636835142857144,34.40629490909092,North Dakota,0,2000.0,0.6666666666666667,North Dakota
7,George W. Bush,2000.0,50.785841225806465,51.058742571428574,53.09696554545455,North Dakota,1,2000.0,0.3333333333333333,North Dakota
8,George W. Bush,2004.0,60.13369719354839,58.220533,62.166219157894744,North Dakota,1,2004.0,0.3333333333333333,North Dakota
9,John Kerry,2004.0,33.73175577419355,34.6572805,32.403712421052624,North Dakota,0,2004.0,0.6666666666666667,North Dakota
10,Barack Obama,2008.0,44.78879799999999,44.91188325000001,43.139311000000006,North Dakota,0,2008.0,0.5128205128205128,North Dakota
11,John McCain,2008.0,45.589159741935475,45.8144425,46.81325253333333,North Dakota,1,2008.0,0.4871794871794872,North Dakota
12,Barack Obama,2012.0,37.62166958064515,38.87967166666665,36.136153633333336,North Dakota,0,2012.0,0.525,North Dakota
13,Mitt Romney,2012.0,54.26175529032258,54.99540200000001,51.33549293333333,North Dakota,1,2012.0,0.475,North Dakota
14,Donald Trump,2016.0,47.925820967741934,54.36546375,50.93378933333334,North Dakota,1,2016.0,0.4444444444444444,North Dakota
15,Hillary Rodham Clinton,2016.0,31.168725161290322,30.08051625,28.162397,North Dakota,0,2016.0,0.5555555555555556,North Dakota
16,Donald Trump,2020.0,57.06923290322581,56.10088,54.050665,North Dakota,1,2020.0,0.425,North Dakota
17,Joseph R. Biden Jr.,2020.0,37.095443548387095,38.78673333333333,39.009702,North Dakota,0,2020.0,0.575,North Dakota
