,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,53.12908558,56.27094763,52.938373,Oklahoma,1,1988,0.388888889,Oklahoma,1
1,Michael S. Dukakis,1988,38.80279529,38.26349288,38.9202928,Oklahoma,0,1988,0.611111111,Oklahoma,0
2,Bill Clinton,1992,38.47542629,35.29019733,39.868639,Oklahoma,0,1992,0.578947368,Oklahoma,0
3,George Bush,1992,41.62786248,41.36264933,44.97389383,Oklahoma,1,1992,0.421052632,Oklahoma,1
4,Bill Clinton,1996,42.7512581,39.5627698,43.71187433,Oklahoma,0,1996,0.666666667,Oklahoma,0
5,Bob Dole,1996,45.72770416,46.7525804,46.25534733,Oklahoma,1,1996,0.333333333,Oklahoma,1
6,Al Gore,2000,36.24088048,37.01310486,35.41483383,Oklahoma,0,2000,0.333333333,Oklahoma,0
7,George W. Bush,2000,53.58016584,55.787079,53.23118743,Oklahoma,1,2000,0.666666667,Oklahoma,1
8,George W. Bush,2004,60.8520109,62.3078035,60.4165409,Oklahoma,1,2004,0.666666667,Oklahoma,1
9,John Kerry,2004,32.33720377,32.773757,32.49473573,Oklahoma,0,2004,0.333333333,Oklahoma,0
10,Barack Obama,2008,32.72996184,35.62121225,30.38518383,Oklahoma,0,2008,0.465517241,Oklahoma,0
11,John McCain,2008,62.27261974,60.516853,61.50929373,Oklahoma,1,2008,0.534482759,Oklahoma,1
12,Barack Obama,2012,29.16369174,30.84316933,28.68518003,Oklahoma,0,2012,0.474576271,Oklahoma,0
13,Mitt Romney,2012,61.68080961,61.02952,60.91248057,Oklahoma,1,2012,0.525423729,Oklahoma,1
14,Donald Trump,2016,52.16165548,56.9093075,51.09295967,Oklahoma,1,2016,0.6,Oklahoma,1
15,Hillary Rodham Clinton,2016,30.99772516,30.74639,28.783295,Oklahoma,0,2016,0.4,Oklahoma,0
16,Donald Trump,2020,58.28815548,59.16533667,58.34985967,Oklahoma,1,2020,0.379746835,Oklahoma,1
17,Joseph R. Biden Jr.,2020,35.75704677,36.22041667,34.86377967,Oklahoma,0,2020,0.620253165,Oklahoma,0
