,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,49.63857680645162,49.438532875,49.0243167,Oregon,1,1988.0,0.4375,Oregon
1,Michael S. Dukakis,1988.0,46.4875441935484,47.046519125,47.16181603333335,Oregon,0,1988.0,0.5625,Oregon
2,Bill Clinton,1992.0,43.29048570967741,40.43485933333333,37.73755476666667,Oregon,0,1992.0,0.6,Oregon
3,George Bush,1992.0,28.616242161290327,29.55293466666667,33.32440506666667,Oregon,1,1992.0,0.4,Oregon
4,Bill Clinton,1996.0,50.11693925806453,48.0023748,51.62271173333333,Oregon,0,1996.0,0.4482758620689655,Oregon
5,Bob Dole,1996.0,34.42101790322581,35.6772756,35.96532606666665,Oregon,1,1996.0,0.5517241379310345,Oregon
6,Al Gore,2000.0,41.54747432258064,43.48372957142857,42.40102266666667,Oregon,0,2000.0,0.625,Oregon
7,George W. Bush,2000.0,42.68321429032258,45.35224828571429,38.99246816666667,Oregon,1,2000.0,0.375,Oregon
8,George W. Bush,2004.0,45.10656970967741,45.4242,46.24293679999999,Oregon,1,2004.0,0.4,Oregon
9,John Kerry,2004.0,49.18910993548389,50.5943825,45.83692723333333,Oregon,0,2004.0,0.6,Oregon
10,Barack Obama,2008.0,52.855583,54.89364250000001,49.33313363333333,Oregon,0,2008.0,0.375,Oregon
11,John McCain,2008.0,39.003022967741934,39.682911,42.31416663333333,Oregon,1,2008.0,0.625,Oregon
12,Barack Obama,2012.0,49.22035496774194,48.15368166666667,49.714323500000006,Oregon,0,2012.0,0.2857142857142857,Oregon
13,Mitt Romney,2012.0,43.72849851612904,43.06557950000001,42.707763733333344,Oregon,1,2012.0,0.7142857142857143,Oregon
14,Donald Trump,2016.0,35.76260322580645,36.88567875,33.980435666666665,Oregon,1,2016.0,0.6666666666666666,Oregon
15,Hillary Rodham Clinton,2016.0,46.54842838709678,46.5890975,43.446996999999996,Oregon,0,2016.0,0.33333333333333337,Oregon
16,Donald Trump,2020.0,37.76983064516129,37.64001666666667,39.0311975,Oregon,1,2020.0,0.6153846153846154,Oregon
17,Joseph R. Biden Jr.,2020.0,56.89195,58.35872,51.08640849999999,Oregon,0,2020.0,0.3846153846153846,Oregon
