,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,53.859530387096775,56.40803975,51.5754631,South Carolina,1,1988.0,0.4736842105263158,South Carolina
1,Michael S. Dukakis,1988.0,37.11229058064517,37.10200025,37.81639233333333,South Carolina,0,1988.0,0.5263157894736842,South Carolina
2,Bill Clinton,1992.0,34.773657903225796,34.39408633333333,34.4378467,South Carolina,0,1992.0,0.6,South Carolina
3,George Bush,1992.0,40.85977845161289,41.38743333333333,42.20762593333333,South Carolina,1,1992.0,0.4,South Carolina
4,Bill Clinton,1996.0,41.70313887096774,40.96626139999999,41.849772566666665,South Carolina,0,1996.0,0.484375,South Carolina
5,Bob Dole,1996.0,48.43735990322581,49.3134588,48.1062999,South Carolina,1,1996.0,0.515625,South Carolina
6,Al Gore,2000.0,38.42858883870968,39.15832328571429,38.24835973333333,South Carolina,0,2000.0,0.3529411764705882,South Carolina
7,George W. Bush,2000.0,51.62125780645161,53.412151285714295,47.76686903333333,South Carolina,1,2000.0,0.6470588235294118,South Carolina
8,George W. Bush,2004.0,54.9717731935484,54.92879600000001,54.51742790000001,South Carolina,1,2004.0,0.625,South Carolina
9,John Kerry,2004.0,38.85608748387098,39.638748,39.76002476666667,South Carolina,0,2004.0,0.375,South Carolina
10,Barack Obama,2008.0,41.55355800000001,43.00883625,40.96911710000001,South Carolina,0,2008.0,0.8,South Carolina
11,John McCain,2008.0,52.43994741935483,52.32117225,49.58714870000002,South Carolina,1,2008.0,0.2,South Carolina
12,Barack Obama,2012.0,44.152551387096786,44.30331266666666,44.29491706666667,South Carolina,0,2012.0,0.7142857142857143,South Carolina
13,Mitt Romney,2012.0,47.38731977419357,47.79253583333334,46.084623,South Carolina,1,2012.0,0.2857142857142857,South Carolina
14,Donald Trump,2016.0,45.50755774193547,46.8408825,46.644687,South Carolina,1,2016.0,0.4,South Carolina
15,Hillary Rodham Clinton,2016.0,39.47418064516128,40.30126125,37.80618966666667,South Carolina,0,2016.0,0.6,South Carolina
16,Donald Trump,2020.0,50.61360548387096,51.52709000000001,50.576278,South Carolina,1,2020.0,0.625,South Carolina
17,Joseph R. Biden Jr.,2020.0,43.855396451612904,44.17951666666666,43.66589366666666,South Carolina,0,2020.0,0.375,South Carolina
