,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988,46.20524463,46.87260325,46.01927620000001,South Dakota,1,1988,0.25,South Dakota
1,Michael S. Dukakis,1988,40.01494567,39.92358075,40.827262,South Dakota,0,1988,0.75,South Dakota
2,Bill Clinton,1992,37.5481241,35.454028,39.94634457,South Dakota,0,1992,0.6666666666666667,South Dakota
3,George Bush,1992,32.39232648,33.008674,34.62977737,South Dakota,1,1992,0.3333333333333333,South Dakota
4,Bill Clinton,1996,41.50374623,41.2155898,42.15980820000001,South Dakota,0,1996,0.5714285714285714,South Dakota
5,Bob Dole,1996,45.18964084,45.965075,45.4206566,South Dakota,1,1996,0.42857142857142855,South Dakota
6,Al Gore,2000,33.04661629,33.39871429,33.32667909,South Dakota,0,2000,0.33333333333333337,South Dakota
7,George W. Bush,2000,55.7992929,55.80279186,55.127173,South Dakota,1,2000,0.6666666666666666,South Dakota
8,George W. Bush,2004,53.67898529,54.39088,53.98083477,South Dakota,1,2004,0.75,South Dakota
9,John Kerry,2004,38.29431371,38.163871,36.77491777,South Dakota,0,2004,0.25,South Dakota
10,Barack Obama,2008,41.15414887,43.30385175,39.2538374,South Dakota,0,2008,0.4444444444444444,South Dakota
11,John McCain,2008,49.88315474,51.938736,49.6905093,South Dakota,1,2008,0.5555555555555556,South Dakota
12,Barack Obama,2012,37.90678587,40.05534233,37.8835915,South Dakota,0,2012,0.3636363636363637,South Dakota
13,Mitt Romney,2012,53.21734632,52.9314735,51.80812279999999,South Dakota,1,2012,0.6363636363636364,South Dakota
14,Donald Trump,2016,46.22388258,50.7732425,45.736562,South Dakota,1,2016,0.5849056603773585,South Dakota
15,Hillary Rodham Clinton,2016,32.39108903,32.07469125,29.79168167,South Dakota,0,2016,0.4150943396226415,South Dakota
16,Donald Trump,2020,55.23259,54.33539333,53.826622,South Dakota,1,2020,0.4,South Dakota
17,Joseph R. Biden Jr.,2020,39.43482517,39.00967667,45.27252,South Dakota,0,2020,0.6,South Dakota
