,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,53.66280974193549,53.78981375000001,49.9105168,Texas,1,1988.0,0.4027777777777778,Texas
1,Michael S. Dukakis,1988.0,39.85093461290322,41.494009625,42.60806096666667,Texas,0,1988.0,0.5972222222222222,Texas
2,Bill Clinton,1992.0,36.753696193548386,36.55658533333335,38.34502249999999,Texas,0,1992.0,0.6376811594202899,Texas
3,George Bush,1992.0,34.55565790322581,37.95704466666667,35.38317333333333,Texas,1,1992.0,0.3623188405797101,Texas
4,Bill Clinton,1996.0,40.175026580645174,40.46039879999999,40.46999593333333,Texas,0,1996.0,0.6666666666666667,Texas
5,Bob Dole,1996.0,45.402984483870966,46.3456388,44.79497526666668,Texas,1,1996.0,0.3333333333333333,Texas
6,Al Gore,2000.0,28.722558161290326,31.011985714285718,29.6472664,Texas,0,2000.0,0.5375,Texas
7,George W. Bush,2000.0,60.12751103225807,60.28344942857144,58.697950666666664,Texas,1,2000.0,0.4625,Texas
8,George W. Bush,2004.0,58.239847354838716,58.68630300000001,59.20900610000001,Texas,1,2004.0,0.4831460674157304,Texas
9,John Kerry,2004.0,35.491660290322585,36.233143,33.12935796666667,Texas,0,2004.0,0.5168539325842696,Texas
10,Barack Obama,2008.0,41.35132848387097,43.06437225000001,39.47058063333333,Texas,0,2008.0,0.5172413793103448,Texas
11,John McCain,2008.0,51.39056270967742,54.757718,51.59213023333333,Texas,1,2008.0,0.4827586206896552,Texas
12,Barack Obama,2012.0,39.479197709677415,39.013215833333334,39.65156286666667,Texas,0,2012.0,0.4516129032258065,Texas
13,Mitt Romney,2012.0,56.13861609677418,57.62798966666666,52.508742833333336,Texas,1,2012.0,0.5483870967741935,Texas
14,Donald Trump,2016.0,44.16924,48.0835,43.64373133333333,Texas,1,2016.0,0.6842105263157895,Texas
15,Hillary Rodham Clinton,2016.0,39.21701741935483,39.00557375,35.80678200000001,Texas,0,2016.0,0.3157894736842105,Texas
16,Donald Trump,2020.0,48.11876193548387,48.57353000000001,47.57088066666666,Texas,1,2020.0,0.3333333333333333,Texas
17,Joseph R. Biden Jr.,2020.0,46.735744516129024,47.44320666666666,46.34298533333335,Texas,0,2020.0,0.6666666666666667,Texas
