,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,62.44440539,65.55232738,60.12578833,Utah,1,1988,0.6,Utah,1
1,Michael S. Dukakis,1988,31.49185745,30.91685325,32.65628011,Utah,0,1988,0.4,Utah,0
2,George Bush,1992,39.21773403,39.34353133,46.1229264,Utah,1,1992,0.5,Utah,1
3,H. Ross Perot,1992,21.08703523,25.06311567,16.48036867,Utah,0,1992,0.5,Utah,0
4,Bill Clinton,1996,34.25507335,33.5577568,36.04548763,Utah,0,1996,0.482758621,Utah,0
5,Bob Dole,1996,46.81163742,47.4335584,46.85488953,Utah,1,1996,0.517241379,Utah,1
6,Al Gore,2000,27.4754381,25.27778771,28.207259,Utah,0,2000,0.25,Utah,0
7,George W. Bush,2000,60.24290255,62.839813,57.23762536,Utah,1,2000,0.75,Utah,1
8,George W. Bush,2004,66.82468513,68.214186,67.6927797,Utah,1,2004,0.6,Utah,1
9,John Kerry,2004,24.89907094,24.5516655,24.81972113,Utah,0,2004,0.4,Utah,0
10,Barack Obama,2008,31.46394706,33.32970425,29.7471481,Utah,0,2008,0.51,Utah,0
11,John McCain,2008,59.69996313,58.90511025,60.93346697,Utah,1,2008,0.49,Utah,1
12,Barack Obama,2012,24.43876171,24.727748,26.83888807,Utah,0,2012,0.408602151,Utah,0
13,Mitt Romney,2012,71.17114606,70.903879,68.8925941,Utah,1,2012,0.591397849,Utah,1
14,Donald Trump,2016,32.97141032,36.50060375,36.56517367,Utah,1,2016,0.666666667,Utah,1
15,Hillary Rodham Clinton,2016,26.22098,26.9688875,26.61395267,Utah,0,2016,0.333333333,Utah,0
16,Donald Trump,2020,51.2567971,52.03253333,48.91510033,Utah,1,2020,0.608695652,Utah,1
17,Joseph R. Biden Jr.,2020,39.46553258,41.94645,36.94366033,Utah,0,2020,0.391304348,Utah,0
