,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,44.2256001935484,45.97584425,42.26713496551724,Vermont,1,1988.0,1.0,Vermont
1,Michael S. Dukakis,1988.0,40.577974870967736,39.633482,41.92026431034483,Vermont,0,1988.0,0.0,Vermont
2,Bill Clinton,1992.0,43.06150793548387,39.405345000000004,42.968567,Vermont,0,1992.0,0.33333333333333337,Vermont
3,George Bush,1992.0,27.79126774193548,28.562992999999995,32.305834233333336,Vermont,1,1992.0,0.6666666666666666,Vermont
4,Bill Clinton,1996.0,52.89128564516128,51.9415508,53.5388997,Vermont,0,1996.0,0.5444444444444444,Vermont
5,Bob Dole,1996.0,34.835881838709675,35.62794440000001,34.702180799999994,Vermont,1,1996.0,0.4555555555555556,Vermont
6,Al Gore,2000.0,47.95361993548386,47.13787100000001,48.383713500000006,Vermont,0,2000.0,0.0,Vermont
7,George W. Bush,2000.0,34.710044774193555,37.93357928571429,32.99466349999999,Vermont,1,2000.0,1.0,Vermont
8,George W. Bush,2004.0,39.28104283870967,39.429539,40.13052973684211,Vermont,1,2004.0,1.0,Vermont
9,John Kerry,2004.0,50.87349225806453,51.631069,49.35150047368422,Vermont,0,2004.0,0.0,Vermont
10,Barack Obama,2008.0,60.94457377419357,61.14753975000001,61.85136393333333,Vermont,0,2008.0,0.4444444444444444,Vermont
11,John McCain,2008.0,31.46220619354839,32.65389425,32.027933000000004,Vermont,1,2008.0,0.5555555555555556,Vermont
12,Barack Obama,2012.0,60.87746745161288,61.06521933333333,60.85504603333333,Vermont,0,2012.0,0.4444444444444444,Vermont
13,Mitt Romney,2012.0,30.314549258064517,31.057653000000002,28.96998673333333,Vermont,1,2012.0,0.5555555555555556,Vermont
14,Donald Trump,2016.0,22.926286451612892,25.41287,23.942656,Vermont,1,2016.0,0.6153846153846154,Vermont
15,Hillary Rodham Clinton,2016.0,46.363800645161284,53.35216875,43.41379633333334,Vermont,0,2016.0,0.3846153846153846,Vermont
16,Donald Trump,2020.0,29.979997096774202,27.957673333333336,32.42292777777778,Vermont,1,2020.0,0.75,Vermont
17,Joseph R. Biden Jr.,2020.0,62.50636677419354,66.39817,55.66207222222222,Vermont,0,2020.0,0.25,Vermont
