,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,53.78696522580646,55.162765500000006,53.1171392,Virginia,1,1988.0,0.4814814814814815,Virginia
1,Michael S. Dukakis,1988.0,37.50836480645161,37.630845,37.4484847,Virginia,0,1988.0,0.5185185185185185,Virginia
2,Bill Clinton,1992.0,36.24138706451613,35.367503,38.263174333333346,Virginia,0,1992.0,0.6153846153846154,Virginia
3,George Bush,1992.0,37.69635696774193,40.481625,40.91437670000001,Virginia,1,1992.0,0.38461538461538464,Virginia
4,Bill Clinton,1996.0,45.363513225806464,42.92354859999999,46.16251426666667,Virginia,0,1996.0,0.5,Virginia
5,Bob Dole,1996.0,41.86850748387096,41.908432399999995,41.763091166666655,Virginia,1,1996.0,0.5,Virginia
6,Al Gore,2000.0,39.27781774193549,41.914862142857146,41.1671721,Virginia,0,2000.0,0.5384615384615383,Virginia
7,George W. Bush,2000.0,49.73899890322581,50.01675,49.56004793333334,Virginia,1,2000.0,0.4615384615384616,Virginia
8,George W. Bush,2004.0,49.61500135483872,49.815851,50.56293786666666,Virginia,1,2004.0,0.6785714285714286,Virginia
9,John Kerry,2004.0,43.92169938709676,44.234131500000004,41.24330963333333,Virginia,0,2004.0,0.3214285714285714,Virginia
10,Barack Obama,2008.0,49.92609241935485,50.284117,46.36291336666668,Virginia,0,2008.0,0.6666666666666667,Virginia
11,John McCain,2008.0,44.35528474193549,44.945515,47.4547116,Virginia,1,2008.0,0.3333333333333333,Virginia
12,Barack Obama,2012.0,47.29362596774192,48.12906266666666,47.717597100000006,Virginia,0,2012.0,0.6666666666666667,Virginia
13,Mitt Romney,2012.0,47.683816870967725,47.38081866666668,45.6688154,Virginia,1,2012.0,0.3333333333333333,Virginia
14,Donald Trump,2016.0,37.409082580645155,41.2685925,38.79736166666665,Virginia,1,2016.0,0.5816326530612245,Virginia
15,Hillary Rodham Clinton,2016.0,45.79742225806453,47.01467625,43.718897,Virginia,0,2016.0,0.4183673469387755,Virginia
16,Donald Trump,2020.0,40.64868129032258,42.0294,40.72675900000001,Virginia,1,2020.0,0.6129032258064516,Virginia
17,Joseph R. Biden Jr.,2020.0,52.7567941935484,53.64116666666667,51.39530000000001,Virginia,0,2020.0,0.3870967741935484,Virginia
