,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,36.08074277419355,37.0754005,35.19937450000001,West Virginia,1,1988.0,0.2727272727272727,West Virginia
1,Michael S. Dukakis,1988.0,42.997208258064525,42.65426687500001,43.651517999999996,West Virginia,0,1988.0,0.7272727272727273,West Virginia
2,Bill Clinton,1992.0,46.72942325806451,45.335365,45.52210450000001,West Virginia,0,1992.0,0.7272727272727273,West Virginia
3,George Bush,1992.0,30.31351816129032,29.39564733333333,35.253238433333344,West Virginia,1,1992.0,0.2727272727272727,West Virginia
4,Bill Clinton,1996.0,53.095972612903225,50.6425336,54.95648936666667,West Virginia,0,1996.0,0.4838709677419355,West Virginia
5,Bob Dole,1996.0,33.44898738709678,34.513104,33.892087566666675,West Virginia,1,1996.0,0.5161290322580645,West Virginia
6,Al Gore,2000.0,41.59604841935485,41.685585714285715,42.70949856666667,West Virginia,0,2000.0,0.8571428571428572,West Virginia
7,George W. Bush,2000.0,43.28112341935484,46.389855714285716,42.50010373333335,West Virginia,1,2000.0,0.14285714285714285,West Virginia
8,George W. Bush,2004.0,48.12760835483871,50.965807,47.60519770000001,West Virginia,1,2004.0,0.375,West Virginia
9,John Kerry,2004.0,45.38139203225807,44.582744500000004,45.09551233333334,West Virginia,0,2004.0,0.625,West Virginia
10,Barack Obama,2008.0,43.565042387096774,41.26571225,39.01437353333333,West Virginia,0,2008.0,0.5555555555555556,West Virginia
11,John McCain,2008.0,47.794106483870976,53.26028925000001,49.15249796666666,West Virginia,1,2008.0,0.4444444444444444,West Virginia
12,Barack Obama,2012.0,38.574559064516116,38.742867666666655,38.58446836666667,West Virginia,0,2012.0,0.5555555555555556,West Virginia
13,Mitt Romney,2012.0,55.265892096774216,55.99645566666667,53.865957866666676,West Virginia,1,2012.0,0.4444444444444444,West Virginia
14,Donald Trump,2016.0,56.61701903225804,57.27482,55.87874100000001,West Virginia,1,2016.0,0.3333333333333333,West Virginia
15,Hillary Rodham Clinton,2016.0,30.06603161290323,28.8333775,28.09961233333333,West Virginia,0,2016.0,0.6666666666666667,West Virginia
16,Donald Trump,2020.0,60.5509064516129,61.9643,62.76502933333334,West Virginia,1,2020.0,0.6153846153846154,West Virginia
17,Joseph R. Biden Jr.,2020.0,35.16394548387097,33.729260000000004,33.33336300000001,West Virginia,0,2020.0,0.3846153846153846,West Virginia
