,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988.0,43.25898983870969,47.65827000000001,39.494050099999995,Wisconsin,1,1988.0,0.4583333333333333,Wisconsin
1,Michael S. Dukakis,1988.0,46.36514490322581,44.27689675000001,47.65470303333333,Wisconsin,0,1988.0,0.5416666666666667,Wisconsin
2,Bill Clinton,1992.0,41.688872870967764,38.76593233333333,47.05369306666668,Wisconsin,0,1992.0,0.48,Wisconsin
3,George Bush,1992.0,31.53428293548387,31.967831,32.97190426666666,Wisconsin,1,1992.0,0.52,Wisconsin
4,Bill Clinton,1996.0,51.16633406451614,49.7094848,51.71713180000001,Wisconsin,0,1996.0,0.5151515151515151,Wisconsin
5,Bob Dole,1996.0,32.61795041935484,34.989626599999994,33.2979983,Wisconsin,1,1996.0,0.4848484848484849,Wisconsin
6,Al Gore,2000.0,41.87425112903225,44.04623685714286,41.98315166666667,Wisconsin,0,2000.0,0.4642857142857143,Wisconsin
7,George W. Bush,2000.0,41.740914,44.93570199999999,40.72444496666665,Wisconsin,1,2000.0,0.5357142857142857,Wisconsin
8,George W. Bush,2004.0,47.55137390322582,48.179759000000004,49.2891217,Wisconsin,1,2004.0,0.4782608695652174,Wisconsin
9,John Kerry,2004.0,45.91477964516128,46.410581,44.07264223333333,Wisconsin,0,2004.0,0.5217391304347826,Wisconsin
10,Barack Obama,2008.0,51.39647635483871,52.812047,49.0886276,Wisconsin,0,2008.0,0.5555555555555556,Wisconsin
11,John McCain,2008.0,41.33054803225807,40.85506375,43.82768376666666,Wisconsin,1,2008.0,0.4444444444444444,Wisconsin
12,Barack Obama,2012.0,49.82714012903226,49.81010933333334,49.69792896666668,Wisconsin,0,2012.0,0.5,Wisconsin
13,Mitt Romney,2012.0,46.12278483870968,46.12882083333333,45.74715663333334,Wisconsin,1,2012.0,0.5,Wisconsin
14,Donald Trump,2016.0,38.74044064516129,41.12077000000001,38.559752,Wisconsin,1,2016.0,0.59375,Wisconsin
15,Hillary Rodham Clinton,2016.0,45.528022258064524,46.5165375,43.15655033333334,Wisconsin,0,2016.0,0.40625,Wisconsin
16,Donald Trump,2020.0,43.585778387096774,43.79576333333333,43.493822,Wisconsin,1,2020.0,0.3333333333333333,Wisconsin
17,Joseph R. Biden Jr.,2020.0,50.858329354838716,52.02580333333334,50.298514000000004,Wisconsin,0,2020.0,0.6666666666666667,Wisconsin
