,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988,50.10322171,57.58408388,44.4806035,Wyoming,1,1988,0.6666666666666666,Wyoming
1,Michael S. Dukakis,1988,28.76211339,27.409227500000004,30.0017835,Wyoming,0,1988,0.33333333333333337,Wyoming
2,Bill Clinton,1992,28.48053487,28.983954,28.14232025,Wyoming,0,1992,0.33333333333333337,Wyoming
3,George Bush,1992,33.40408058,34.25411667,34.10946225,Wyoming,1,1992,0.6666666666666666,Wyoming
4,Bill Clinton,1996,38.29070613,37.712323,40.20135673,Wyoming,0,1996,0.6666666666666667,Wyoming
5,Bob Dole,1996,44.97505806,45.3071586,45.16950517,Wyoming,1,1996,0.3333333333333333,Wyoming
6,Al Gore,2000,29.09992797,29.23472757,29.98453564,Wyoming,0,2000,0.33333333333333337,Wyoming
7,George W. Bush,2000,59.68499061,61.311713,58.45731743,Wyoming,1,2000,0.6666666666666666,Wyoming
8,Barack Obama,2008,33.93647003,33.63503425,31.834640500000006,Wyoming,0,2008,0.5,Wyoming
9,John McCain,2008,58.82812939,60.27611,60.14847260000001,Wyoming,1,2008,0.5,Wyoming
10,Donald Trump,2016,57.32047677,60.28322375,57.67812767,Wyoming,1,2016,0.5161290322580645,Wyoming
11,Hillary Rodham Clinton,2016,21.30923065,22.2117725,20.76469767,Wyoming,0,2016,0.4838709677419355,Wyoming
12,Donald Trump,2020,66.20989966,62.33691,66.2262782,Wyoming,1,2020,0.5135135135135135,Wyoming
13,Joseph R. Biden Jr.,2020,29.37502276,30.84256667,32.272552000000005,Wyoming,0,2020,0.4864864864864865,Wyoming
